row_label_raw,row_label_full,col_0,Thuế suất,31/12/2023Triệu VND,1/1/2023Triệu VND,numeric__Thuế suất,numeric__31/12/2023Triệu VND,numeric__1/1/2023Triệu VND
Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,,,
Giảm giá tiền thuê,Tài sản thuế thu nhập hoãn lại: > Giảm giá tiền thuê,Giảm giá tiền thuê,20%,8.100,46.357,0.2,8100.0,46357.0
Doanh thu chưa thực hiện,Tài sản thuế thu nhập hoãn lại: > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,20%,3.343,6.951,0.2,3343.0,6951.0
Thuế thu nhập doanh nghiệp tạm tính,Tài sản thuế thu nhập hoãn lại: > Thuế thu nhập doanh nghiệp tạm tính,Thuế thu nhập doanh nghiệp tạm tính,1%,2.313,11.948,0.01,2313.0,11948.0
Dự phòng phải thu ngắn hạn khó đòi,Tài sản thuế thu nhập hoãn lại: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,20%,16.059,-,0.2,16059.0,
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại: > Chi phí phải trả,Chi phí phải trả,20%,26.124,-,0.2,26124.0,
Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,Tài sản thuế thu nhập hoãn lại: > Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,20%,9.659,9.081,0.2,9659.0,9081.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại: > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,65.598,74.337,,65598.0,74337.0
Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,,,
Chênh lệch từ việc đánh giá lại giá trị hợp lýkhi mua lại một công ty,Thuế thu nhập hoãn lại phải trả: > Chênh lệch từ việc đánh giá lại giá trị hợp lýkhi mua lại một công ty,Chênh lệch từ việc đánh giá lại giá trị hợp lýkhi mua lại một công ty,20%,35.491,36.370,0.2,35491.0,36370.0
Chênh lệch do ghi nhận doanh thu cho thuêđài hạn một lần – doanh thu chưa thực hiện,Thuế thu nhập hoãn lại phải trả: > Chênh lệch do ghi nhận doanh thu cho thuêđài hạn một lần – doanh thu chưa thực hiện,Chênh lệch do ghi nhận doanh thu cho thuêđài hạn một lần – doanh thu chưa thực hiện,20%,21.249,22.261,0.2,21249.0,22261.0
Chênh lệch từ việc đánh giá lại tài sản thuần cùacông ty con khi sáp nhập,Thuế thu nhập hoãn lại phải trả: > Chênh lệch từ việc đánh giá lại tài sản thuần cùacông ty con khi sáp nhập,Chênh lệch từ việc đánh giá lại tài sản thuần cùacông ty con khi sáp nhập,20%,10.230,10.288,0.2,10230.0,10288.0
Chi phí khấu hao,Thuế thu nhập hoãn lại phải trả: > Chi phí khấu hao,Chi phí khấu hao,20%,4.674,5.336,0.2,4674.0,5336.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả: > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,71.644,74.255,,71644.0,74255.0
