row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023 Triệu VND,2022 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2023 Triệu VND,numeric__2022 Triệu VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,31,9.791.335,7.361.437,1.0,31.0,9791335.0,7361437.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,31,-,-,2.0,31.0,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,31,9.791.335,7.361.437,10.0,31.0,9791335.0,7361437.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,32,4.445.450,3.544.917,11.0,32.0,4445450.0,3544917.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,5.345.885,3.816.520,20.0,,5345885.0,3816520.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,33,1.146.339,538.573,21.0,33.0,1146339.0,538573.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,34,330.426,359.155,22.0,34.0,330426.0,359155.0
Trong đó: Chi phí lãi vay và chi phí phát hành,Trong đó: Chi phí lãi vay và chi phí phát hành,Trong đó: Chi phí lãi vay và chi phí phát hành,23,,330.426,359.155,23.0,,330426.0,359155.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,35,341.268,171.973,25.0,35.0,341268.0,171973.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,36,438.650,371.266,26.0,36.0,438650.0,371266.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,5.381.880,3.452.699,30.0,,5381880.0,3452699.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,37,212.434,88.319,31.0,37.0,212434.0,88319.0
Chi phí khác,Chi phí khác,Chi phí khác,32,38,68.227,16.528,32.0,38.0,68227.0,16528.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,144.207,71.791,40.0,,144207.0,71791.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,5.526.087,3.524.490,50.0,,5526087.0,3524490.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,40,1.111.151,807.615,51.0,40.0,1111151.0,807615.0
Chi phí/(lợi ích) thuế TNDN hoãn lại,Chi phí/(lợi ích) thuế TNDN hoãn lại,Chi phí/(lợi ích) thuế TNDN hoãn lại,52,40,6.128,(60.253),52.0,40.0,6128.0,-60253.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(mang sang trang tiếp theo),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(mang sang trang tiếp theo),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(mang sang trang tiếp theo),60,,4.408.808,2.777.128,60.0,,4408808.0,2777128.0
