row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2023Triệu VND,1/1/2023Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023Triệu VND,numeric__1/1/2023Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,10.036.448,10.534.650,100.0,,10036448.0,10534650.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,4.101.549,7.019.648,110.0,5.0,4101549.0,7019648.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,4.051.549,180.901,111.0,,4051549.0,180901.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,50.000,6.838.747,112.0,,50000.0,6838747.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,1.070.978,97.426,120.0,,1070978.0,97426.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,6,1.070.978,97.426,123.0,6.0,1070978.0,97426.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,1.612.789,1.404.486,130.0,,1612789.0,1404486.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,1.460.717,1.115.127,131.0,7.0,1460717.0,1115127.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,8,77.967,99.471,132.0,8.0,77967.0,99471.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,9(a),296.504,381.573,136.0,,296504.0,381573.0
Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,10,(222.399),(191.685),137.0,10.0,-222399.0,-191685.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,11,639.957,1.178.127,140.0,11.0,639957.0,1178127.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,639.957,1.178.127,141.0,,639957.0,1178127.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,2.611.175,834.963,150.0,,2611175.0,834963.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,17(a),72.562,119.002,151.0,,72562.0,119002.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,22.472,49.766,152.0,,22472.0,49766.0
Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,,,,,,,,
Nhà nước,Thuế và các khoản khác phải thu > Nhà nước,Nhà nước,153,,721,8.775,153.0,,721.0,8775.0
Tài sản ngắn hạn khác,Thuế và các khoản khác phải thu > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,12,2.515.420,657.420,155.0,12.0,2515420.0,657420.0
