row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2023Triệu VND,1/1/2023Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023Triệu VND,numeric__1/1/2023Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,37.826.853,33.424.690,400.0,,37826853.0,33424690.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,28,37.826.853,33.424.690,410.0,28.0,37826853.0,33424690.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,29,23.288.184,23.288.184,411.0,29.0,23288184.0,23288184.0
- Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,411a,,23.288.184,23.288.184,,,23288184.0,23288184.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,46.983,46.983,412.0,,46983.0,46983.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(1.954.258),(1.954.258),415.0,,-1954258.0,-1954258.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,(53.137),(53.137),420.0,,-53137.0,-53137.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,16.475.788,12.064.570,421.0,,16475788.0,12064570.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,12.064.570,9.288.513,,,12064570.0,9288513.0
- LNST năm nay,- LNST năm nay,- LNST năm nay,421b,,4.411.218,2.776.057,,,4411218.0,2776057.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,23.293,32.348,429.0,,23293.0,32348.0
TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),440,,47.653.731,42.701.088,440.0,,47653731.0,42701088.0
