row_label_raw,row_label_full,col_0,2023Triệu VND,2022Triệu VND,numeric__2023Triệu VND,numeric__2022Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,699.496,1.255.909,699496.0,1255909.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,371.790,112.064,371790.0,112064.0
Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(4.601),(501.353),-4601.0,-501353.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(5.068),-,-5068.0,
Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,(21.819),-,-21819.0,
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(92.574),,-92574.0
Chuyển nhượng dự án,Chuyển nhượng dự án,Chuyển nhượng dự án,-,(40.118),,-40118.0
Giảm do quyết toán,Giảm do quyết toán,Giảm do quyết toán,-,(34.432),,-34432.0
Giảm khác,Giảm khác,Giảm khác,(11.479),-,-11479.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.028.319,699.496,1028319.0,699496.0
