row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2023Triệu VND,1/1/2023Triệu VND,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,,
Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,Các bên liên quan > Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,48.321,87.612,48321.0,87612.0
Tập đoàn Vingroup – Công ty CP,Các bên liên quan > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,43.058,59.379,43058.0,59379.0
Công ty Cổ phần Vinhomes,Các bên liên quan > Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,11.268,25.666,11268.0,25666.0
Công ty Cổ phần Vinpearl,Các bên liên quan > Công ty Cổ phần Vinpearl,Công ty Cổ phần Vinpearl,4.483,77.932,4483.0,77932.0
Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Các bên liên quan > Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,-,126.694,,126694.0
Các bên liên quan khác,Các bên liên quan > Các bên liên quan khác,Các bên liên quan khác,3.742,10.741,3742.0,10741.0
,,,110.872,388.024,110872.0,388024.0
Các nhà cung cấp khác,Các bên liên quan > Các nhà cung cấp khác,Các nhà cung cấp khác,337.243,336.802,337243.0,336802.0
,,,448.115,724.826,448115.0,724826.0
