row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023Triệu VND,2022Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2023Triệu VND,numeric__2022Triệu VND
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,01,,5.526.087,3.524.490,1.0,,5526087.0,3524490.0
Khấu hao và phân bổ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,1.453.931,1.451.929,2.0,,1453931.0,1451929.0
Các khoản dự phòng,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,87.438,25.679,3.0,,87438.0,25679.0
Lãi từ các hoạt động đầu tư,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ các hoạt động đầu tư,Lãi từ các hoạt động đầu tư,05,,(1.144.646),(545.292),5.0,,-1144646.0,-545292.0
"Chi phí lãi vay và chi phí đi vay,phát hành trái phiếu","LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí đi vay,phát hành trái phiếu","Chi phí lãi vay và chi phí đi vay,phát hành trái phiếu",06,,330.426,359.155,6.0,,330426.0,359155.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,6.253.236,4.815.961,8.0,,6253236.0,4815961.0
Biến động các khoản phải thuvà tài sản khác,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thuvà tài sản khác,Biến động các khoản phải thuvà tài sản khác,09,,(1.293.682),(214.005),9.0,,-1293682.0,-214005.0
Biến động hàng tồn kho,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,543.548,(502.634),10.0,,543548.0,-502634.0
Biến động các khoản phải trả vànợ phải trả khác,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,11,,(808.470),1.614.418,11.0,,-808470.0,1614418.0
