row_label_raw,row_label_full,col_0,Quá hạnVND,Không nhay cảmvới lãi suấtVND,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngVND,numeric__Quá hạnVND,numeric__Không nhay cảmvới lãi suấtVND,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngVND
,,,Quá hạnVND,Không nhay cảmvới lãi suấtVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5nămVND,Tổng cộngVND,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mất, vàng bạc, đá quý","Tải sản > Tiền mất, vàng bạc, đá quý","Tiền mất, vàng bạc, đá quý",-,793.464.354.495,-,-,-,-,-,-,793.464.354.495,,793464354495.0,,,,,,,793464354495.0
Tiền gửi tai NHNN,Tải sản > Tiền gửi tai NHNN,Tiền gửi tai NHNN,-,3.225.386.957.711,-,-,-,-,-,-,3.225.386.957.711,,3225386957711.0,,,,,,,3225386957711.0
Tiền gửi tai và cho vay các TCTD khác,Tải sản > Tiền gửi tai và cho vay các TCTD khác,Tiền gửi tai và cho vay các TCTD khác,-,1.035.522.780.925,18.000.855.035.765,1.101.536.522.612,243.611.475.842,145.000.143.074,109.727.000.000,-,20.636.252.958.218,,1035522780925.0,18000855035765.0,1101536522612.0,243611475842.0,145000143074.0,109727000000.0,,20636252958218.0
Chứng khoán kinh doanh - gộp,Tải sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,-,-,-,142.837.500.000,-,-,142.837.500.000,,,,,,142837500000.0,,,142837500000.0
Các công cụ tài chính phải sinh,Tải sản > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,360.044.007.067,-,-,-,-,-,-,360.044.007.067,,360044007067.0,,,,,,,360044007067.0
Cho vay khách hàng và mua nợ - gộp,Tải sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,2.661.852.541.484,-,19.054.213.192.726,36.360.708.779.507,41.022.275.048.034,10.846.360.409.303,9.857.826.791.571,-,119.803.236.762.625,2661852541484.0,,19054213192726.0,36360708779507.0,41022275048034.0,10846360409303.0,9857826791571.0,,119803236762625.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,2.146.780.767.206,-,2.648.900.000.000,765.218.506.725,11.209.800.000.000,4.394.666.600.000,16.202.000.000.000,37.367.365.873.931,,2146780767206.0,,2648900000000.0,765218506725.0,11209800000000.0,4394666600000.0,16202000000000.0,37367365873931.0
"Gộp vốn, đầu tư dài hạn","Tải sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,25.000.000.000,-,-,-,-,-,-,25.000.000.000,,25000000000.0,,,,,,,25000000000.0
