row_label_raw,row_label_full,col_0,EUR được quy đổi VND,USD được quy đổi VND,Giá trị vàng tiền tệ được quy đổi VND,Các loại ngoại tệ khác quy đổi VND,Tổng cộng VND,numeric__EUR được quy đổi VND,numeric__USD được quy đổi VND,numeric__Giá trị vàng tiền tệ được quy đổi VND,numeric__Các loại ngoại tệ khác quy đổi VND,numeric__Tổng cộng VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",12.656.787.258,88.523.040.980,6.623.370.000,7.982.746.657,115.785.944.895,12656787258.0,88523040980.0,6623370000.0,7982746657.0,115785944895.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,182.233.358.714,-,-,182.233.358.714,,182233358714.0,,,182233358714.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,16.763.988.787,1.614.813.286.655,-,774.912.548.380,2.406.489.823.822,16763988787.0,1614813286655.0,,774912548380.0,2406489823822.0
Các công cụ tài chính phải sinh,Tài sản > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,(20.215.200.000),1.893.864.640.694,-,(600.714.447.113),1.272.934.993.581,-20215200000.0,1893864640694.0,,-600714447113.0,1272934993581.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,2.137.707.439.422,-,-,2.137.707.439.422,,2137707439422.0,,,2137707439422.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,656.269.459.716,-,-,656.269.459.716,,656269459716.0,,,656269459716.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,9.205.576.045,6.573.411.226.181,6.623.370.000,182.180.847.924,6.771.421.020.150,9205576045.0,6573411226181.0,6623370000.0,182180847924.0,6771421020150.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,2.816.956.633.719,-,-,2.816.956.633.719,,2816956633719.0,,,2816956633719.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,7.555.777.186,1.168.265.941.573,-,78.132.217.186,1.253.953.935.945,7555777186.0,1168265941573.0,,78132217186.0,1253953935945.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,2.989.580.000.000,-,-,2.989.580.000.000,,2989580000000.0,,,2989580000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,721.169.679,108.352.338.490,8.780.772,27.774.040.602,136.856.329.543,721169679.0,108352338490.0,8780772.0,27774040602.0,136856329543.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,8.276.946.865,7.083.154.913.782,8.780.772,105.906.257.788,7.197.346.899.207,8276946865.0,7083154913782.0,8780772.0,105906257788.0,7197346899207.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,928.629.180,(509.743.687.601),6.614.589.228,76.274.590.136,(425.925.879.057),928629180.0,-509743687601.0,6614589228.0,76274590136.0,-425925879057.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,(4.589.577.322),-,(66.943.745.000),(71.533.322.322),,-4589577322.0,,-66943745000.0,-71533322322.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",928.629.180,(514.333.264.923),6.614.589.228,9.330.845.136,(497.459.201.379),928629180.0,-514333264923.0,6614589228.0,9330845136.0,-497459201379.0
