row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng - gộp VND,Tiền ký quỹ VND,Giá trị theo hợp đồng - thuần VND,numeric__Giá trị theo hợp đồng - gộp VND,numeric__Tiền ký quỹ VND,numeric__Giá trị theo hợp đồng - thuần VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,40.932.000.000,10.211.731.049,30.720.268.951,40932000000.0,10211731049.0,30720268951.0
Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,66.176.116.111.944,-,66.176.116.111.944,66176116111944.0,,66176116111944.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,379.375.922.149,-,379.375.922.149,379375922149.0,,379375922149.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,380.196.244.471,-,380.196.244.471,380196244471.0,,380196244471.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,65.416.543.945.324,-,65.416.543.945.324,65416543945324.0,,65416543945324.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,3.433.245.468.713,30.330.410.247,3.402.915.058.466,3433245468713.0,30330410247.0,3402915058466.0
Cam kết đã được ngân hàng tải trợ thanh toàn,Cam kết đã được ngân hàng tải trợ thanh toàn,Cam kết đã được ngân hàng tải trợ thanh toàn,1.503.952.368.963,-,1.503.952.368.963,1503952368963.0,,1503952368963.0
Cam kết chưa thực hiện,Cam kết chưa thực hiện,Cam kết chưa thực hiện,1.929.293.099.750,30.330.410.247,1.898.962.689.503,1929293099750.0,30330410247.0,1898962689503.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,9.684.126.795.815,259.873.306.644,9.424.253.489.171,9684126795815.0,259873306644.0,9424253489171.0
Cam kết khác,Cam kết khác,Cam kết khác,1.867.200.000.000,-,1.867.200.000.000,1867200000000.0,,1867200000000.0
,,,81.201.620.376.472,300.415.447.940,80.901.204.928.532,81201620376472.0,300415447940.0,80901204928532.0
