row_label_raw,row_label_full,Giao dịch ký hạn tiền tệ,2.581.872.804.737,col_2,-,6.946.475.644,numeric__2.581.872.804.737,numeric__col_2,numeric__-,numeric__6.946.475.644
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,46.457.003.436.235,109.453.316.004,,-,46457003436235.0,109453316004.0,,
Giao dịch hoán đổi lãi suất hai đồng tiền,Giao dịch hoán đổi lãi suất hai đồng tiền,Giao dịch hoán đổi lãi suất hai đồng tiền,1.389.200.000.000,23.300.000.000,,-,1389200000000.0,23300000000.0,,
