row_label_raw,row_label_full,col_0,Thuyết minh,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Thuyết minh,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,793.464.354.495,713.556.130.605,5.0,793464354495.0,713556130605.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,3.225.386.957.711,3.852.855.231.576,6.0,3225386957711.0,3852855231576.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,,20.636.252.958.218,22.594.488.113.746,,20636252958218.0,22594488113746.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,18.426.222.780.925,21.131.371.234.704,71.0,18426222780925.0,21131371234704.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,2.210.030.177.293,1.463.116.879.042,72.0,2210030177293.0,1463116879042.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,142.837.500.000,4.565.000.020.000,8.0,142837500000.0,4565000020000.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,142.837.500.000,4.565.000.020.000,,142837500000.0,4565000020000.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,360.044.007.067,125.806.840.360,9.0,360044007067.0,125806840360.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,118.220.309.912.203,100.934.632.861.292,,118220309912203.0,100934632861292.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,119.802.569.762.625,102.050.733.038.455,10.0,119802569762625.0,102050733038455.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(1.582.259.850.422),(1.116.100.177.163),11.0,-1582259850422.0,-1116100177163.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,661.997.500,661.997.500,12.0,661997500.0,661997500.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,667.000.000,667.000.000,,667000000.0,667000000.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(5.002.500),(5.002.500),,-5002500.0,-5002500.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,37.333.104.826.049,40.968.392.205.017,13.0,37333104826049.0,40968392205017.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,37.367.365.873.931,40.980.428.800.914,,37367365873931.0,40980428800914.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(34.261.047.882),(12.036.595.897),,-34261047882.0,-12036595897.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,24.814.658.846,25.000.000.000,14.0,24814658846.0,25000000000.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,25.000.000.000,25.000.000.000,,25000000000.0,25000000000.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(185.341.154),,,-185341154.0,
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,583.159.070.091,554.166.284.013,,583159070091.0,554166284013.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,278.874.747.262,285.125.671.227,151.0,278874747262.0,285125671227.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,739.580.060.425,700.882.375.334,,739580060425.0,700882375334.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(460.705.313.163),(415.756.704.107,,-460705313163.0,
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,304.284.322.829,269.040.612.786,152.0,304284322829.0,269040612786.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,555.056.230.889,480.888.064.944,,555056230889.0,480888064944.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(250.771.908.060),(211.847.452.158,,-250771908060.0,
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,12.697.819.493.469,10.180.099.739.518,16.0,12697819493469.0,10180099739518.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,"16.1, 16.2",7.369.947.883.113,8.177.930.446.159,,7369947883113.0,8177930446159.0
