row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
Mua sắm tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(3.134.726.710.532),(125.239.422.985),,-3134726710532.0,-125239422985.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Tiền thu từ thanh lý, nhượng bán tài sản cố định","Tiền thu từ thanh lý, nhượng bán tài sản cố định",,1.600.232.775.204,55.888.813.636,,1600232775204.0,55888813636.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",33,853.080.106,5.242.907.658,33.0,853080106.0,5242907658.0
"Tiền thu đầu tư, góp vốn vào các đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Tiền thu đầu tư, góp vốn vào các đơn vị khác","Tiền thu đầu tư, góp vốn vào các đơn vị khác",,-,3.000.000.000,,,3000000000.0
Lưu chuyển tiền sử dụng vào hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Lưu chuyển tiền sử dụng vào hoạt động đầu tư,Lưu chuyển tiền sử dụng vào hoạt động đầu tư,,(1.533.640.855.222),(61.107.701.691),,-1533640855222.0,-61107701691.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Giảm vốn cổ phần từ góp vốn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Giảm vốn cổ phần từ góp vốn,Giảm vốn cổ phần từ góp vốn,,-,(275.000.000),,,-275000000.0
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(7.733.380),(303.165.589),,-7733380.0,-303165589.0
Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,,(7.733.380),(578.165.589),,-7733380.0,-578165589.0
Lưu chuyển tiền thuần trong năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,(3.252.708.503.754),5.488.888.384.401,,-3252708503754.0,5488888384401.0
Tiền và các khoản tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,36,25.697.782.596.885,20.208.894.212.484,36.0,25697782596885.0,20208894212484.0
Tiền và các khoản tương đương tiền cuối năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,36,22.445.074.093.131,25.697.782.596.885,36.0,22445074093131.0,25697782596885.0
