row_label_raw,row_label_full,col_0,Giá trị số sách > Số dư cuối năm VND,Giá trị số sách > Số dư đầu năm VND,numeric__Giá trị số sách > Số dư cuối năm VND,numeric__Giá trị số sách > Số dư đầu năm VND
Bất động sản,Bất động sản,Bất động sản,170.536.521.610.623,155.894.937.631.227,170536521610623.0,155894937631227.0
Động sản,Động sản,Động sản,26.338.652.329.267,21.962.521.113.834,26338652329267.0,21962521113834.0
Giấy tờ có giả,Giấy tờ có giả,Giấy tờ có giả,23.527.292.788.469,32.389.669.891.827,23527292788469.0,32389669891827.0
Tài sản khác,Tài sản khác,Tài sản khác,50.918.992.023.922,36.341.673.758.153,50918992023922.0,36341673758153.0
,,,271.321.458.752.281,246.588.802.395.041,271321458752281.0,246588802395041.0
