row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,26,14.067.731.941.564,11.720.101.153.850,26.0,14067731941564.0,11720101153850.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,27,(7.121.547.012.939),(5.954.650.380.841),27.0,-7121547012939.0,-5954650380841.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,6.946.184.928.625,5.765.450.773.009,,6946184928625.0,5765450773009.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,1.124.566.731.130,868.493.398.150,,1124566731130.0,868493398150.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(110.260.212.678),(89.606.004.679),,-110260212678.0,-89606004679.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,28,1.014.306.518.452,778.887.393.471,28.0,1014306518452.0,778887393471.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,29,145.118.554.754,99.727.078.248,29.0,145118554754.0,99727078248.0
(Lỗ)/Lãi thuần từ mua bán chứng khoán kinh doanh,(Lỗ)/Lãi thuần từ mua bán chứng khoán kinh doanh,(Lỗ)/Lãi thuần từ mua bán chứng khoán kinh doanh,30,(77.265.017.750),123.818.226.554,30.0,-77265017750.0,123818226554.0
(Lỗ)/Lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/Lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/Lãi thuần từ mua bán chứng khoán đầu tư,31,(140.196.342.607),1.744.618.886.811,31.0,-140196342607.0,1744618886811.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,783.661.855.763,562.724.890.993,,783661855763.0,562724890993.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(139.500.228.447),(162.614.061.354),,-139500228447.0,-162614061354.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,32,644.161.627.316,400.110.829.639,32.0,644161627316.0,400110829639.0
Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,33,853.080.106,5.242.907.658,33.0,853080106.0,5242907658.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,8.533.163.348.896,8.917.856.095.390,,8533163348896.0,8917856095390.0
CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,34,(3.075.687.143.819),(2.397.391.556.029),34.0,-3075687143819.0,-2397391556029.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,5.457.476.205.077,6.520.464.539.361,,5457476205077.0,6520464539361.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(1.067.461.492.385),(997.676.515.651),,-1067461492385.0,-997676515651.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,4.390.014.712.692,5.522.788.023.710,,4390014712692.0,5522788023710.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,35,(879.589.703.439),(1.113.453.295.381),35.0,-879589703439.0,-1113453295381.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,35,(879.589.703.439),(1.113.453.295.381),35.0,-879589703439.0,-1113453295381.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,3.510.425.009.253,4.409.334.728.329,,3510425009253.0,4409334728329.0
