row_label_raw,row_label_full,Các chứng từ có giá trị khác đang bảo quản,Số dư cuối năm VND > 15.659.938.327.414,Số dư đầu năm VND > 17.181.641.085.958,numeric__Số dư cuối năm VND > 15.659.938.327.414,numeric__Số dư đầu năm VND > 17.181.641.085.958
Tài sản khác giữ hộ,Tài sản khác giữ hộ,Tài sản khác giữ hộ,14.380.127.371.130,18.940.871.478.797,14380127371130.0,18940871478797.0
Tài sản bảo đảm nhận thay thế,Tài sản bảo đảm nhận thay thế,Tài sản bảo đảm nhận thay thế,1.289.166.846.231,70.032.689.544,1289166846231.0,70032689544.0
Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,20.329.357.200,20.329.357.200,20329357200.0,20329357200.0
"Kim loại quỹ, đá quỹ giữ hộ","Kim loại quỹ, đá quỹ giữ hộ","Kim loại quỹ, đá quỹ giữ hộ",3.248.700.000,2.996.350.000,3248700000.0,2996350000.0
,,,31.352.810.601.975,36.215.870.961.499,31352810601975.0,36215870961499.0
