row_label_raw,row_label_full,col_0,Miền Nam VND,Miền Bắc VND,Miền Trung VND,Loại trừ VND,Tổng cộng VND,numeric__Miền Nam VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,29.719.136.590.624,3.247.759.732.388,2.554.560.578.024,(21.453.724.959.472),14.067.731.941.564,29719136590624.0,3247759732388.0,2554560578024.0,-21453724959472.0,14067731941564.0
Doanh thu lãi từ khách hàng bên ngoài,I. Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,9.818.763.184.791,2.234.609.440.535,2.014.359.316.238,-,14.067.731.941.564,9818763184791.0,2234609440535.0,2014359316238.0,,14067731941564.0
Doanh thu lãi nội bộ,I. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,19.900.373.405.833,1.013.150.291.853,540.201.261.786,(21.453.724.959.472),-,19900373405833.0,1013150291853.0,540201261786.0,-21453724959472.0,
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,997.652.264.805,75.537.831.625,51.376.634.700,-,1.124.566.731.130,997652264805.0,75537831625.0,51376634700.0,,1124566731130.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,2.146.370.815.412,113.294.991.176,77.878.039.958,(491.444.493.292),1.846.099.353.254,2146370815412.0,113294991176.0,77878039958.0,-491444493292.0,1846099353254.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(24.464.966.177.851),(2.378.419.149.862),(1.731.886.644.698),21.453.724.959.472,(7.121.547.012.939),-24464966177851.0,-2378419149862.0,-1731886644698.0,21453724959472.0,-7121547012939.0
Chi phí lãi cho khách hàng bên ngoài,II. Chi phí > Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,(5.917.823.795.743),(788.644.185.442),(415.079.031.754),-,(7.121.547.012.939),-5917823795743.0,-788644185442.0,-415079031754.0,,-7121547012939.0
Chi phí lãi nội bộ,II. Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(18.547.142.382.108),(1.589.774.964.420),(1.316.807.612.944),21.453.724.959.472,-,-18547142382108.0,-1589774964420.0,-1316807612944.0,21453724959472.0,
