row_label_raw,row_label_full,col_0,Thuyết minh,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Thuyết minh,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,,2.594.629.745.606,130.606.957.051,,2594629745606.0,130606957051.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",17,2.594.629.745.606,130.606.957.051,17.0,2594629745606.0,130606957051.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,22.638.642.858.433,32.038.024.327.577,,22638642858433.0,32038024327577.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,18.1,20.066.839.186.311,20.066.737.249.229,181.0,20066839186311.0,20066737249229.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,18.2,2.571.803.672.122,11.971.287.078.348,182.0,2571803672122.0,11971287078348.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,102.229.728.615.356,98.831.589.846.779,19.0,102229728615356.0,98831589846779.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,3.168.474.390.481,4.996.402.838.269,20.0,3168474390481.0,4996402838269.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,32.022.737.500.000,22.628.650.000.000,21.0,32022737500000.0,22628650000000.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,6.091.554.708.485,4.085.243.200.727,,6091554708485.0,4085243200727.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",22,2.882.632.937.824,2.241.721.655.538,22.0,2882632937824.0,2241721655538.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,23,3.208.921.770.661,1.843.521.545.189,23.0,3208921770661.0,1843521545189.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,168.745.767.818.361,162.710.517.170.403,,168745767818361.0,162710517170403.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,,15.401.514.927.348,15.401.514.927.348,,15401514927348.0,15401514927348.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,25.2,13.698.828.630.000,13.698.828.630.000,252.0,13698828630000.0,13698828630000.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,25.1,1.702.686.297.348,1.702.686.297.348,251.0,1702686297348.0,1702686297348.0
Quỹ của TCTD,VỐN CHỦ SỞ HỮU > Quỹ của TCTD,Quỹ của TCTD,25.3,2.793.404.054.952,2.266.840.303.564,253.0,2793404054952.0,2266840303564.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,7.077.168.934.988,4.135.787.022.312,,7077168934988.0,4135787022312.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,25,25.272.087.917.288,21.804.142.253.224,25.0,25272087917288.0,21804142253224.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,194.017.855.735.649,184.514.659.423.627,,194017855735649.0,184514659423627.0
