row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,3.000.000.000.000,10.464.125.510,130.521.431.761,3.140.985.557.271,3000000000000.0,10464125510.0,130521431761.0,3140985557271.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,-,-,205.571.665.532,205.571.665.532,,,205571665532.0,205571665532.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(90.000.000.000),(90.000.000.000),,,-90000000000.0,-90000000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,10.278.583.277,(10.278.583.277),-,,10278583277.0,-10278583277.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,(10.278.583.277),(10.278.583.277),,,-10278583277.0,-10278583277.0
"Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021","Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021","Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021",-,-,(1.296.000.000),(1.296.000.000),,,-1296000000.0,-1296000000.0
"Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020","Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020","Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020",-,-,(414.720.000),(414.720.000),,,-414720000.0,-414720000.0
Trích quỹ thưởng Ban điều hành,Trích quỹ thưởng Ban điều hành,Trích quỹ thưởng Ban điều hành,-,-,(405.000.000),(405.000.000),,,-405000000.0,-405000000.0
Số dư cuối kỳ trước,Số dư cuối kỳ trước,Số dư cuối kỳ trước,3.000.000.000.000,20.742.708.787,223.420.210.739,3.244.162.919.526,3000000000000.0,20742708787.0,223420210739.0,3244162919526.0
Số dư đầu kỳ này,Số dư đầu kỳ này,Số dư đầu kỳ này,3.000.000.000.000,20.742.708.787,223.420.210.739,3.244.162.919.526,3000000000000.0,20742708787.0,223420210739.0,3244162919526.0
Lãi trong kỳ này,Lãi trong kỳ này,Lãi trong kỳ này,-,-,166.725.422.899,166.725.422.899,,,166725422899.0,166725422899.0
Số dư cuối kỳ này,Số dư cuối kỳ này,Số dư cuối kỳ này,3.000.000.000.000,20.742.708.787,390.145.633.638,3.410.888.342.425,3000000000000.0,20742708787.0,390145633638.0,3410888342425.0
