row_label_raw,row_label_full,CÁC KHOẢN VAY NGẮN HẠN,CÁC KHOẢN VAY NGẮN HẠN_1,CÁC KHOẢN VAY NGẮN HẠN_2,CÁC KHOẢN VAY NGẮN HẠN_3,CÁC KHOẢN VAY NGẮN HẠN_4,CÁC KHOẢN VAY NGẮN HẠN_5,CÁC KHOẢN VAY NGẮN HẠN_6,numeric__CÁC KHOẢN VAY NGẮN HẠN_1,numeric__CÁC KHOẢN VAY NGẮN HẠN_2,numeric__CÁC KHOẢN VAY NGẮN HẠN_3,numeric__CÁC KHOẢN VAY NGẮN HẠN_4,numeric__CÁC KHOẢN VAY NGẮN HẠN_5,numeric__CÁC KHOẢN VAY NGẮN HẠN_6
,,,01/01/2022,01/01/2022,Trong kỳ,Trong kỳ,31/12/2022,31/12/2022,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,100.000.000.000,100.000.000.000,25.000.000.000,100.000.000.000,25.000.000.000,25.000.000.000,100000000000.0,100000000000.0,25000000000.0,100000000000.0,25000000000.0,25000000000.0
- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,100.000.000.000,100.000.000.000,25.000.000.000,100.000.000.000,25.000.000.000,25.000.000.000,100000000000.0,100000000000.0,25000000000.0,100000000000.0,25000000000.0,25000000000.0
Các khoản vay đối với các bên liên quan,Các khoản vay đối với các bên liên quan,Các khoản vay đối với các bên liên quan,Các khoản vay đối với các bên liên quan,Các khoản vay đối với các bên liên quan,Các khoản vay đối với các bên liên quan,Các khoản vay đối với các bên liên quan,Các khoản vay đối với các bên liên quan,Các khoản vay đối với các bên liên quan,,,,,,
,,,Mối quan hệ,Mối quan hệ,31/12/2022,31/12/2022,01/01/2022,01/01/2022,,,,,,
,,,Mối quan hệ,Mối quan hệ,Gốc,Lãi,Gốc,Lãi,,,,,,
,,,Mối quan hệ,Mối quan hệ,VND,VND,VND,VND,,,,,,
Công ty TNHH MTV Quốc tế Protrade,Các khoản vay đối với các bên liên quan > Công ty TNHH MTV Quốc tế Protrade,Công ty TNHH MTV Quốc tế Protrade,Công ty con,Công ty con,25.000.000.000,9.163.835.622,100.000.000.000,1.297.534.247,,,25000000000.0,9163835622.0,100000000000.0,1297534247.0
Công ty TNHH MTV Quốc tế Protrade,Các khoản vay đối với các bên liên quan > Công ty TNHH MTV Quốc tế Protrade,Công ty TNHH MTV Quốc tế Protrade,Công ty con,Công ty con,25.000.000.000,9.163.835.622,100.000.000.000,1.297.534.247,,,25000000000.0,9163835622.0,100000000000.0,1297534247.0
