row_label_raw,row_label_full,Ông Lưu Đình Cường > Ông Nguyễn Tuấn Anh,Tổng Giám đốc,bổ nhiệm ngày 27 tháng 4 năm 2018 > miễn nhiệm ngày 27 tháng 4 năm 2018,numeric__Tổng Giám đốc,numeric__bổ nhiệm ngày 27 tháng 4 năm 2018 > miễn nhiệm ngày 27 tháng 4 năm 2018
Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Phó Tổng Giám đốc,,,
Ông Mai Văn Yên,Ông Mai Văn Yên,Ông Mai Văn Yên,Phó Tổng Giám đốc,,,
