row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Bản quyền,Chương trình phần mềm,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Bản quyền,numeric__Chương trình phần mềm,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,102.202.954.505,3.247.354.120,25.181.337.458,130.631.646.083,102202954505.0,3247354120.0,25181337458.0,130631646083.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,-,423.560.000,423.560.000,,,423560000.0,423560000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,102.202.954.505,3.247.354.120,25.604.897.458,131.055.206.083,102202954505.0,3247354120.0,25604897458.0,131055206083.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,1.789.508.560,3.247.354.120,5.093.145.778,10.130.008.458,1789508560.0,3247354120.0,5093145778.0,10130008458.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,6.077.297.850,3.247.354.120,13.815.756.661,23.140.408.631,6077297850.0,3247354120.0,13815756661.0,23140408631.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,519.964.395,-,4.499.834.064,5.019.798.459,519964395.0,,4499834064.0,5019798459.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,6.597.262.245,3.247.354.120,18.315.590.725,28.160.207.090,6597262245.0,3247354120.0,18315590725.0,28160207090.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,96.125.656.655,-,11.365.580.797,107.491.237.452,96125656655.0,,11365580797.0,107491237452.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,95.605.692.260,-,7.289.306.733,102.894.998.993,95605692260.0,,7289306733.0,102894998993.0
