row_label_raw,row_label_full,Ông Nguyễn Tuấn Anh > Ông Lưu Đình Cường > Ông Lê Xuân Khôi > Ông Nguyễn Quốc Thắng > Ông Nguyễn Văn Lập > Ông Bùi Nguyên Quỳnh,Chữ tịch > Thành viên,miễn nhiệm ngày 25 tháng 7 năm 2018 > bổ nhiệm ngày 27 tháng 4 năm 2018,numeric__Chữ tịch > Thành viên,numeric__miễn nhiệm ngày 25 tháng 7 năm 2018 > bổ nhiệm ngày 27 tháng 4 năm 2018
Ông Nguyễn Văn Chuyền,Ông Nguyễn Văn Chuyền,Ông Nguyễn Văn Chuyền,Thành viên,,,
Ông Tô Hải,Ông Tô Hải,Ông Tô Hải,Thành viên,miễn nhiệm ngày 26 tháng 4 năm 2018,,
Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Ông Nguyễn Ngọc Anh,Phó Chủ tịch,miễn nhiệm ngày 27 tháng 4 năm 2018,,
Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Ông Phạm Đình Nhật Cường,Thành viên,miễn nhiệm ngày 27 tháng 4 năm 2018,,
Ông Cái Hồng Thu,Ông Cái Hồng Thu,Ông Cái Hồng Thu,Thành viên,miễn nhiệm ngày 27 tháng 4 năm 2018,,
Ông Phạm Văn Thông,Ông Phạm Văn Thông,Ông Phạm Văn Thông,Thành viên,miễn nhiệm ngày 27 tháng 4 năm 2018,,
Ông Nguyễn Tuấn Anh,Ông Nguyễn Tuấn Anh,Ông Nguyễn Tuấn Anh,Thành viên,miễn nhiệm ngày 27 tháng 4 năm 2018,,
Ông Mai Văn Yên,Ông Mai Văn Yên,Ông Mai Văn Yên,Thành viên,miễn nhiệm ngày 27 tháng 4 năm 2018,,
