row_label_raw,row_label_full,col_0,Số đầu năm,Số phải trả trong năm,Số đã nộp/ cấn trừ trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Số phải trả trong năm,numeric__Số đã nộp/ cấn trừ trong năm,numeric__VND Số cuối năm
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,27.897.500.519,167.176.001.396,(138.646.665.725),56.426.836.190,27897500519.0,167176001396.0,-138646665725.0,56426836190.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,16.000.104.645,286.817.200.121,(284.311.140.630),18.506.164.136,16000104645.0,286817200121.0,-284311140630.0,18506164136.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.923.949.142,23.884.142.046,(24.744.061.737),5.064.029.451,5923949142.0,23884142046.0,-24744061737.0,5064029451.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,4.396.782.359,51.846.410.396,(51.433.858.102),4.809.334.653,4396782359.0,51846410396.0,-51433858102.0,4809334653.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",292.790.641,5.009.844.128,(5.302.634.769),-,292790641.0,5009844128.0,-5302634769.0,
"Thuế, phí khác","Thuế, phí khác","Thuế, phí khác",1.951.170.521,60.977.289.831,(59.853.787.845),3.074.672.507,1951170521.0,60977289831.0,-59853787845.0,3074672507.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,56.462.297.827,595.710.887.918,(564.292.148.808),87.881.036.937,56462297827.0,595710887918.0,-564292148808.0,87881036937.0
