row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyet minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyet minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,1.339.645.449.703,2.371.674.452.992,,300.0,,1339645449703.0,2371674452992.0
I.,I.,I.,Ng ngắn hạn,310,,1.159.284.251.429,1.835.490.030.431,,310.0,,1159284251429.0,1835490030431.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,475.420.239.620,361.321.100.293,,311.0,18.0,475420239620.0,361321100293.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,42.391.537.087,63.651.015.476,,312.0,,42391537087.0,63651015476.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,22.663.336.608,83.091.150.528,,313.0,19.0,22663336608.0,83091150528.0
4.,4.,4.,Phải trả người lao động,314,,89.519.496.693,118.304.455.634,,314.0,,89519496693.0,118304455634.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,93.066.847.570,57.056.342.544,,315.0,20.0,93066847570.0,57056342544.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,-,700.472.473,,318.0,,,700472473.0
7.,7.,7.,Phải trả ngắn hạn khác,319,21,77.540.129.961,1.009.921.782.301,,319.0,21.0,77540129961.0,1009921782301.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,23,-,2.133.324.000,,320.0,23.0,,2133324000.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,22,312.335.214.817,40.184.083.102,,321.0,22.0,312335214817.0,40184083102.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,46.347.449.073,99.126.304.080,,322.0,,46347449073.0,99126304080.0
II.,II.,II.,Nợ dài hạn,330,,180.361.198.274,536.184.422.561,,330.0,,180361198274.0,536184422561.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,,1.510.922.362,2.182.443.406,,336.0,,1510922362.0,2182443406.0
2.,2.,2.,Phải trả dài hạn khác,337,21,960.870.000,6.826.964.074,,337.0,21.0,960870000.0,6826964074.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,23,-,230.138.981.667,,338.0,23.0,,230138981667.0
4.,4.,4.,Thuế thu nhập hoãn lại phải trả,341,17,132.540.000.000,146.185.982.143,,341.0,17.0,132540000000.0,146185982143.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,22,-,96.551.724.139,,342.0,22.0,,96551724139.0
6.,6.,6.,Quỹ phát triển khoa học và công nghệ,343,,45.349.405.912,54.298.327.132,,343.0,,45349405912.0,54298327132.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,8.228.984.070.782,8.547.505.270.255,,400.0,,8228984070782.0,8547505270255.0
I.,I.,I.,Vốn chủ sở hữu,410,24,8.228.984.070.782,8.547.505.270.255,,410.0,24.0,8228984070782.0,8547505270255.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.914.000.000.000,3.800.000.000.000,,411.0,,3914000000000.0,3800000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.914.000.000.000,3.800.000.000.000,,,,3914000000000.0,3800000000000.0
2.,2.,2.,Thặng dư vốn cố phân,412,,21.179.913.858,21.179.913.858,,412.0,,21179913858.0,21179913858.0
3.,3.,3.,Cổ phiếu quỹ,415,,(2.296.824.120),(2.296.824.120),,415.0,,-2296824120.0,-2296824120.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,3.497.039.984.857,3.498.666.363.825,,418.0,,3497039984857.0,3498666363825.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,625.289.673.315,1.038.014.367.026,,421.0,,625289673315.0,1038014367026.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối nằm trước,421a,,447.473.885.864,734.858.823.580,,,,447473885864.0,734858823580.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,177.815.787.451,303.155.543.446,,,,177815787451.0,303155543446.0
6.,6.,6.,Lợi ích cố đông không kiểm soát,429,,173.771.322.872,191.941.449.662,,429.0,,173771322872.0,191941449662.0
