row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,142.201.200.000,17.509.266.332,32.230.983.330,191.941.449.662,142201200000.0,17509266332.0,32230983330.0,191941449662.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,23.839.763.404,23.839.763.404,,,23839763404.0,23839763404.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,864.917.500,(864.917.500),-,,864917500.0,-864917500.0,
Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,-,-,(6.817.116.309),(6.817.116.309),,,-6817116309.0,-6817116309.0
Chia cố tức,Chia cố tức,Chia cố tức,-,-,(19.712.500.000),(19.712.500.000),,,-19712500000.0,-19712500000.0
Chuyển quỹ,Chuyển quỹ,Chuyển quỹ,-,-,-,-,,,,
(Giảm) do thoái vốn tại Công ty Cổ,Chuyển quỹ > (Giảm) do thoái vốn tại Công ty Cổ,(Giảm) do thoái vốn tại Công ty Cổ,(13.451.200.000),(965.808.159),(1.063.265.726),(15.480.273.885),-13451200000.0,-965808159.0,-1063265726.0,-15480273885.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,,,,
Số dư cuối năm,Tăng/(giảm) khác > Số dư cuối năm,Số dư cuối năm,128.750.000.000,17.408.375.673,27.612.947.199,173.771.322.872,128750000000.0,17408375673.0,27612947199.0,173771322872.0
