row_label_raw,row_label_full,CHÌ TIÊU,CHÌ TIÊU_1,Mãsố,Năm nay,Năm trước,numeric__CHÌ TIÊU_1,numeric__Mãsố,numeric__Năm nay,numeric__Năm trước
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền thu từ phát hành cố phiếu,31,114.000.000.000,,,31.0,114000000000.0,
2.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền thu từ đi vay,33,5.780.162.536,360.868.957.857,,33.0,5780162536.0,360868957857.0
3.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,Tiền trả nợ gốc vay,34,(232.730.241.203),(176.850.686.644),,34.0,-232730241203.0,-176850686644.0
4.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,"Cố tức, lợi nhuận đã trả cho chủ sở hữu",36,(2.311.860.298.200),(569.893.611.925),,36.0,-2311860298200.0,-569893611925.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(2.424.810.376.867),(385.875.340.712),,40.0,-2424810376867.0,-385875340712.0
,,,Lưu chuyển tiền thuần trong kỳ (50=20+30+40),50,(1.591.516.455.393),611.791.931.684,,50.0,-1591516455393.0,611791931684.0
,,,Tiền và tương đương tiền đầu năm,60,5.690.048.266.789,5.078.299.954.021,,60.0,5690048266789.0,5078299954021.0
,,,Ảnh hưởng của tự jy đối tỷ giá hối đoái quy đổi ngoại tệ,61,25.224.684,(43.618.916),,61.0,25224684.0,-43618916.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,4.098.557.036.080,5.690.048.266.789,,70.0,4098557036080.0,5690048266789.0
