row_label_raw,row_label_full,Chi tiêu,Phát sinh trong năm > Số đầu nămVND,Phát sinh trong năm > Phát sinh tăngVND,Phát sinh trong năm > Phát sinh giảmVND,Giảm dothoái vốn,Số cuối năm,numeric__Phát sinh trong năm > Số đầu nămVND,numeric__Phát sinh trong năm > Phát sinh tăngVND,numeric__Phát sinh trong năm > Phát sinh giảmVND,numeric__Giảm dothoái vốn,numeric__Số cuối năm
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,,,,,,,
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,-,3.152.818.774,3152818774.0,,,,3152818774.0
Thuế thu nhập cá nhân,Thuế và các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,979.004.317,4.331.039.232,979.004.317,-,4.331.039.232,979004317.0,4331039232.0,979004317.0,,4331039232.0
Cộng,Thuế và các khoản phải thu > Cộng,Cộng,4.131.823.091,4.331.039.232,979.004.317,-,7.483.858.006,4131823091.0,4331039232.0,979004317.0,,7483858006.0
Chi tiêu,Chi tiêu,Chi tiêu,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Giảm dothoái vốn,Số cuối năm,,,,,
Chi tiêu,Chi tiêu,Chi tiêu,Số đầu nămVND,Số phải nộpVND,Số đã nộpVND,Giảm dothoái vốn,Số cuối năm,,,,,
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,,,,,,,
Thuế GTGT hàng bán nội địa,Thuế và các khoản phải nộp > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,1.621.177.611,22.060.219.237,21.514.910.836,104.223.073,2.062.262.939,1621177611.0,22060219237.0,21514910836.0,104223073.0,2062262939.0
Thuế GTGT hàng nhập khẩu,Thuế và các khoản phải nộp > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,23.651.410.376,23.651.410.376,-,-,,23651410376.0,23651410376.0,,
"Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,20.763.497.750,20.763.497.750,-,-,,20763497750.0,20763497750.0,,
Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,77.632.066.060,260.806.442.949,318.332.007.665,1.171.108.473,18.935.392.871,77632066060.0,260806442949.0,318332007665.0,1171108473.0,18935392871.0
Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.801.529.577,65.716.937.125,67.764.815.423,118.419.121,1.635.232.158,3801529577.0,65716937125.0,67764815423.0,118419121.0,1635232158.0
Thuế tài nguyên,Thuế và các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,29.441.280,371.098.880,371.011.520,-,29.528.640,29441280.0,371098880.0,371011520.0,,29528640.0
Thuế bảo vệ môi trường,Thuế và các khoản phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,6.936.000,56.640.000,62.656.000,-,920.000,6936000.0,56640000.0,62656000.0,,920000.0
Thuế môn bài,Thuế và các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,28.000.000,28.000.000,-,-,,28000000.0,28000000.0,,
Thuế nhà thầu nước ngoài,Thuế và các khoản phải nộp > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,17.434.597.418,17.434.597.418,-,-,,17434597418.0,17434597418.0,,
Các loại thuế khác,Thuế và các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,3.628.312.167,3.628.312.167,-,-,,3628312167.0,3628312167.0,,
Cộng,Thuế và các khoản phải nộp > Cộng,Cộng,83.091.150.528,414.517.155.902,473.551.219.155,1.393.750.667,22.663.336.608,83091150528.0,414517155902.0,473551219155.0,1393750667.0,22663336608.0
