row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mãsố,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mãsố,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
1.,1. > 1.,1.,Lợi nhuận trước thuế,01,1.393.074.915.491,1.880.272.850.805,,1.0,1393074915491.0,1880272850805.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khấu hao tài sản cố định và bắt động sản đầu tư,02,242.263.838.182,264.527.522.125,,2.0,242263838182.0,264527522125.0
,,,Các khoản dự phòng,03,216.838.943.170,304.765.981.944,,3.0,216838943170.0,304765981944.0
,,,(Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,(25.224.684),33.095.831,,4.0,-25224684.0,33095831.0
,,,(Lãi) từ hoạt động đầu tư,05,(228.142.043.039),(72.101.740.932),,5.0,-228142043039.0,-72101740932.0
,,,Chỉ phí lãi vay,06,4.473.655.670,2.568.699.865,,6.0,4473655670.0,2568699865.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,08,1.628.484.084.790,2.380.066.409.638,,8.0,1628484084790.0,2380066409638.0
,,,"Tăng, giảm các khoản phải thu",09,451.316.815.164,(57.554.865.569),,9.0,451316815164.0,-57554865569.0
,,,"Tăng, giảm hàng tôn kho",10,393.812.636.054,90.739.190.276,,10.0,393812636054.0,90739190276.0
,,,"Tăng, giảm các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(27.710.216.020),(232.982.368.141),,11.0,-27710216020.0,-232982368141.0
,,,"Tăng, giảm chỉ phí trả trước",12,(32.767.930.905),19.650.383.838,,12.0,-32767930905.0,19650383838.0
,,,Tiền lãi vay đã trả,14,(4.473.655.670),(2.568.699.865),,14.0,-4473655670.0,-2568699865.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(318.332.007.665),(279.826.182.950),,15.0,-318332007665.0,-279826182950.0
,,,Tiền thu khác từ hoạt động kinh doanh,16,17.851.484.482,106.450.370.984,,16.0,17851484482.0,106450370984.0
,,,Tiền chỉ khác cho hoạt động kinh doanh,17,(272.537.201.070),(384.390.450.891),,17.0,-272537201070.0,-384390450891.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.835.644.009.160,1.639.583.787.320,,20.0,1835644009160.0,1639583787320.0
II.,II.,II.,LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,,,,
1.,II. > 1.,1.,"Tiền chỉ mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(1.288.584.447.183),(960.351.770.011),,21.0,-1288584447183.0,-960351770011.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,71.035.909.091,,22.0,,71035909091.0
3.,II. > 3.,3.,"Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác",23,(150.000.000.000),(10.950.000.000),,23.0,-150000000000.0,-10950000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,175.000.000.000,7.119.148.009,,24.0,175000000000.0,7119148009.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,30.222.223.701,2.238.561.705,,26.0,30222223701.0,2238561705.0
6.,II. > 6.,6.,"Tiền thu lãi cho vay, cố tức và lợi nhuận được chia",27,231.012.135.796,248.991.636.282,,27.0,231012135796.0,248991636282.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.002.350.087.686),(641.916.514.924),,30.0,-1002350087686.0,-641916514924.0
