row_label_raw,row_label_full,col_0,Quyền sử dụng đấtVND,"Nhà cửa,vật kiến trúcVND",Tổng côngVND,numeric__Quyền sử dụng đấtVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Tổng côngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,61.823.516.000,195.680.298.400,257.503.814.400,61823516000.0,195680298400.0,257503814400.0
Phân loại từ tài sản cố định hữu hình,NGUYÊN GIÁ > Phân loại từ tài sản cố định hữu hình,Phân loại từ tài sản cố định hữu hình,-,41.143.442.144,41.143.442.144,,41143442144.0,41143442144.0
Phân loại từ tài sản vô hình,NGUYÊN GIÁ > Phân loại từ tài sản vô hình,Phân loại từ tài sản vô hình,49.215.000.000,-,49.215.000.000,49215000000.0,,49215000000.0
Giảm do thoái vốn tại Công ty Cốphần Quản lý và Phát triển nhà Dầukhí Miền Nam,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty Cốphần Quản lý và Phát triển nhà Dầukhí Miền Nam,Giảm do thoái vốn tại Công ty Cốphần Quản lý và Phát triển nhà Dầukhí Miền Nam,(1.825.000.000),-,(1.825.000.000),-1825000000.0,,-1825000000.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,109.213.516.000,236.823.740.544,346.037.256.544,109213516000.0,236823740544.0,346037256544.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,7.423.347.420,36.161.603.579,43.584.950.999,7423347420.0,36161603579.0,43584950999.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,1.005.683.040,9.718.017.248,10.723.700.288,1005683040.0,9718017248.0,10723700288.0
Phân loại từ tài sản cố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại từ tài sản cố định hữu hình,Phân loại từ tài sản cố định hữu hình,-,10.103.672.720,10.103.672.720,,10103672720.0,10103672720.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,8.429.030.460,55.983.293.547,64.412.324.007,8429030460.0,55983293547.0,64412324007.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,54.400.168.580,159.518.694.821,213.918.863.401,54400168580.0,159518694821.0,213918863401.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,100.784.485.540,180.840.446.997,281.624.932.537,100784485540.0,180840446997.0,281624932537.0
