row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Tổng tài sản,Tổng công nợ,VND Tài sản thuần,Tổng tài sản,Tổng công nợ,VND Tài sản thuần,,,,,,
,,,6.546.531.716.838,7.677.836.436.763,(1.131.304.719.925),6.923.094.964.214,7.378.785.674.715,(455.690.710.501),6546531716838.0,7677836436763.0,-1131304719925.0,6923094964214.0,7378785674715.0,-455690710501.0
Công ty Cổ phần Phát triển Đỗ thị Dầu khí,Công ty Cổ phần Phát triển Đỗ thị Dầu khí,Công ty Cổ phần Phát triển Đỗ thị Dầu khí,386.488.407.062,384.395.584.177,2.092.822.885,330.360.207.714,330.105.596.040,254.611.674,386488407062.0,384395584177.0,2092822885.0,330360207714.0,330105596040.0,254611674.0
Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,6.017.150.685.165,7.214.718.824.369,(1.197.568.139.204),6.468.231.735.297,6.987.058.617.336,(518.826.882.039),6017150685165.0,7214718824369.0,-1197568139204.0,6468231735297.0,6987058617336.0,-518826882039.0
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,142.892.624.611,78.727.028.217,64.170.596.394,124.503.021.203,61.621.461.339,62.881.559.864,142892624611.0,78727028217.0,64170596394.0,124503021203.0,61621461339.0,62881559864.0
,,,Năm nay,Năm nay,Năm nay,Năm trước,Năm trước,Năm trước,,,,,,
,,,Doanh thu thuần,Lãi/(Lỗ)sau thuế TNDN,VND Lãi thuầntừ Công ty liên kết,Doanh thu thuần,Lãi/(Lỗ)sau thuế TNDN,VND Lãi thuầntừ Công ty liên kết,,,,,,
,,,764.910.812.575,(664.549.694.807),3.849.188.452,2.306.393.696.475,(1.299.200.777.978),(198.273.817.160),764910812575.0,-664549694807.0,3849188452.0,2306393696475.0,-1299200777978.0,-198273817160.0
Công ty Cổ phần Phát triển Đỗ thị Dầu khí,Công ty Cổ phần Phát triển Đỗ thị Dầu khí,Công ty Cổ phần Phát triển Đỗ thị Dầu khí,252.917.005.060,1.838.291.211,-,176.246.743.797,(3.187.783.194),(1.217.034.592),252917005060.0,1838291211.0,,176246743797.0,-3187783194.0,-1217034592.0
Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,225.599.911.674,(676.703.988.927),-,1.835.314.470.723,(1.307.136.589.258),(198.073.176.098),225599911674.0,-676703988927.0,,1835314470723.0,-1307136589258.0,-198073176098.0
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,286.393.895.841,10.316.002.909,3.849.188.452,294.832.481.955,11.123.594.474,1.016.393.530,286393895841.0,10316002909.0,3849188452.0,294832481955.0,11123594474.0,1016393530.0
