row_label_raw,row_label_full,Chỉ tiêu,Năm trước(Số liệu đã công bố),Số điều chỉnh,Năm trước(Trình bày lại),numeric__Năm trước(Số liệu đã công bố),numeric__Số điều chỉnh,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,Triệu VND,,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,7.320.352,486,7.320.838,7320352.0,486.0,7320838.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,6.422.489,486,6.422.975,6422489.0,486.0,6422975.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(17.889.022),(187.260),(18.076.282),-17889022.0,-187260.0,-18076282.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,44.449.144,(186.774),44.262.370,44449144.0,-186774.0,44262370.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(24.096.462),372.588,(23.723.874),-24096462.0,372588.0,-23723874.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,20.352.682,185.814,20.538.496,20352682.0,185814.0,20538496.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(3.973.674),(37.163),(4.010.837),-3973674.0,-37163.0,-4010837.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(3.973.674),(37.163),(4.010.837),-3973674.0,-37163.0,-4010837.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,16.379.008,148.651,16.527.659,16379008.0,148651.0,16527659.0
