row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 03 tháng > Triệu VND,Quá hạn > Đến 03 tháng > Triệu VND,Trong hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ 01-03 tháng > Triệu VND,Trong hạn > Từ 03-12 tháng > Triệu VND,Trong hạn > Từ 01-05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Quá hạn > Trên 03 tháng > Triệu VND,numeric__Quá hạn > Đến 03 tháng > Triệu VND,numeric__Trong hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ 01-03 tháng > Triệu VND,numeric__Trong hạn > Từ 03-12 tháng > Triệu VND,numeric__Trong hạn > Từ 01-05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,9.610.410,-,-,-,-,9.610.410,,,9610410.0,,,,,9610410.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,40.596.555,-,-,-,-,40.596.555,,,40596555.0,,,,,40596555.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,227.243.305,11.933.643,37.607.646,-,-,276.784.594,,,227243305.0,11933643.0,37607646.0,,,276784594.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,63.118,-,-,-,-,63.118,,,63118.0,,,,,63118.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),16.395.444,22.645.316,107.662.609,313.742.807,587.577.891,187.120.394,225.620.147,1.460.764.608,16395444.0,22645316.0,107662609.0,313742807.0,587577891.0,187120394.0,225620147.0,1460764608.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,8.710.488,22.642.000,68.707.000,6.062.530,71.755.427,177.877.445,,,8710488.0,22642000.0,68707000.0,6062530.0,71755427.0,177877445.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,5.835.582,5.835.582,,,,,,,5835582.0,5835582.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,9.895.243,9.895.243,,,,,,,9895243.0,9895243.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),79.156,-,6.922.771,17.953.073,16.607.575,1.889.973,14.062.584,57.515.132,79156.0,,6922771.0,17953073.0,16607575.0,1889973.0,14062584.0,57515132.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,16.474.600,22.645.316,400.809.256,366.271.523,710.500.112,195.072.897,327.168.983,2.038.942.687,16474600.0,22645316.0,400809256.0,366271523.0,710500112.0,195072897.0,327168983.0,2038942687.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,21.054.176,-,759.929,-,-,21.814.105,,,21054176.0,,759929.0,,,21814105.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,259.360.233,16.742.394,19.235.190,-,-,295.337.817,,,259360233.0,16742394.0,19235190.0,,,295337817.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,196.670.752,274.730.705,596.948.820,341.049.553,17.858,1.409.417.688,,,196670752.0,274730705.0,596948820.0,341049553.0,17858.0,1409417688.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,552.633,-,-,-,-,552.633,,,552633.0,,,,,552633.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,135.606,39.642,43.524,356.452,1.588.775,2.163.999,,,135606.0,39642.0,43524.0,356452.0,1588775.0,2163999.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.119.448,23.132.670,49.098.329,452.550,41.572.730,115.375.727,,,1119448.0,23132670.0,49098329.0,452550.0,41572730.0,115375727.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,18.346.378,15.767.763,8.715.318,2.014.243,-,44.843.702,,,18346378.0,15767763.0,8715318.0,2014243.0,,44843702.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,497.239.226,330.413.174,674.801.110,343.872.798,43.179.363,1.889.505.671,,,497239226.0,330413174.0,674801110.0,343872798.0,43179363.0,1889505671.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,16.474.600,22.645.316,(96.429.970),35.858.349,35.699.002,(148.799.901),283.989.620,149.437.016,16474600.0,22645316.0,-96429970.0,35858349.0,35699002.0,-148799901.0,283989620.0,149437016.0
