row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,48.057.506,8.969.827,4.418.716,8.811.247,19.881.060,90.138.356,48057506.0,8969827.0,4418716.0,8811247.0,19881060.0,90138356.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,16.527.659,16.527.659,,,,,16527659.0,16527659.0
Điều chính trích lập quỹ của các năm tài chính trước,Điều chính trích lập quỹ của các năm tài chính trước,Điều chính trích lập quỹ của các năm tài chính trước,-,-,1.143,2.286,(3.429),-,,,1143.0,2286.0,-3429.0,
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,818.950,1.637.901,(2.456.851),-,,,818950.0,1637901.0,-2456851.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(1.954.606),(1.954.606),,,,,-1954606.0,-1954606.0
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,-,(86.146),(86.146),,,,,-86146.0,-86146.0
Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),48.057.506,8.969.827,5.238.809,10.451.434,31.907.687,104.625.263,48057506.0,8969827.0,5238809.0,10451434.0,31907687.0,104625263.0
Tăng vốn từ chia cổ tức (Thuyết minh 24.4),Tăng vốn từ chia cổ tức (Thuyết minh 24.4),Tăng vốn từ chia cổ tức (Thuyết minh 24.4),5.642.411,-,-,-,(5.642.411),-,5642411.0,,,,-5642411.0,
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,19.456.788,19.456.788,,,,,19456788.0,19456788.0
Điều chính trích lập quỹ của năm tài chính trước (*),Điều chính trích lập quỹ của năm tài chính trước (*),Điều chính trích lập quỹ của năm tài chính trước (*),-,-,3.126,6.250,(9.376),-,,,3126.0,6250.0,-9376.0,
Tạm trích quỹ trong năm (*),Tạm trích quỹ trong năm (*),Tạm trích quỹ trong năm (*),-,-,972.839,1.945.679,(2.918.518),-,,,972839.0,1945679.0,-2918518.0,
Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),-,-,-,-,(2.327.358),(2.327.358),,,,,-2327358.0,-2327358.0
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,-,(2.862),(2.862),,,,,-2862.0,-2862.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,53.699.917,8.969.827,6.214.774,12.403.363,40.463.950,121.751.831,53699917.0,8969827.0,6214774.0,12403363.0,40463950.0,121751831.0
