row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm(Số liệu đã công bố) > Triệu VND,Số điều chỉnh > Triệu VND,Số đầu năm(Trình bày lại) > Triệu VND,numeric__Số đầu năm(Số liệu đã công bố) > Triệu VND,numeric__Số điều chỉnh > Triệu VND,numeric__Số đầu năm(Trình bày lại) > Triệu VND
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.234.635.168,372.588,1.235.007.756,1234635168.0,372588.0,1235007756.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.264.176.643,21.985,1.264.198.628,1264176643.0,21985.0,1264198628.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(29.541.475),350.603,(29.190.872),-29541475.0,350603.0,-29190872.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,9.978.145,1.166,9.979.311,9978145.0,1166.0,9979311.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.901.915,373,5.902.288,5901915.0,373.0,5902288.0
Nguyên giá TSCĐ,Nguyên giá TSCĐ,Nguyên giá TSCĐ,15.879.268,393,15.879.661,15879268.0,393.0,15879661.0
Hao mòn TSCĐ,Hao mòn TSCĐ,Hao mòn TSCĐ,(9.977.353),(20),(9.977.373),-9977353.0,-20.0,-9977373.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,4.076.230,793,4.077.023,4076230.0,793.0,4077023.0
Nguyên giá TSCĐ,Nguyên giá TSCĐ,Nguyên giá TSCĐ,6.642.707,-,6.642.707,6642707.0,,6642707.0
Hao mòn TSCĐ,Hao mòn TSCĐ,Hao mòn TSCĐ,(2.566.477),793,(2.565.684),-2566477.0,793.0,-2565684.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,80.144.803,7.350,80.152.153,80144803.0,7350.0,80152153.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,2.837.290,7.350,2.844.640,2837290.0,7350.0,2844640.0
TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,1.793.240.351,381.104,1.793.621.455,1793240351.0,381104.0,1793621455.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,39.352.882,232.453,39.585.335,39352882.0,232453.0,39585335.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,18.172.434,232.453,18.404.887,18172434.0,232453.0,18404887.0
Vốn và các quỹ,Vốn và các quỹ,Vốn và các quỹ,104.476.612,148.651,104.625.263,104476612.0,148651.0,104625263.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,31.759.036,148.651,31.907.687,31759036.0,148651.0,31907687.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,1.793.240.351,381.104,1.793.621.455,1793240351.0,381104.0,1793621455.0
