row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải và thiếtbj truyền đắn,Thiết bị dụng cụquản lý và TSCDhửu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải và thiếtbj truyền đắn,numeric__Thiết bị dụng cụquản lý và TSCDhửu hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(Trình bày lại),Nguyên giá > Số dư đầu năm(Trình bày lại),Số dư đầu năm(Trình bày lại),8.078.345,5.691.816,1.707.634,401.866,15.879.661,8078345.0,5691816.0,1707634.0,401866.0,15879661.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,32.068,333.732,172.803,23.175,561.778,32068.0,333732.0,172803.0,23175.0,561778.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,213.398,19.929,11.410,19.832,264.569,213398.0,19929.0,11410.0,19832.0,264569.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,3.922,889,289,859,5.959,3922.0,889.0,289.0,859.0,5959.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(9.877),2.031,-,15,(7.831),-9877.0,2031.0,,15.0,-7831.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.898),(343.072),(39.639),(3.349),(392.958),-6898.0,-343072.0,-39639.0,-3349.0,-392958.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(1.980),(18),(397),(3.315),(5.710),-1980.0,-18.0,-397.0,-3315.0,-5710.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.308.978,5.705.307,1.852.100,439.083,16.305.468,8308978.0,5705307.0,1852100.0,439083.0,16305468.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm(Trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu năm(Trình bày lại),Số dư đầu năm(Trình bày lại),3.051.196,5.275.381,1.304.460,346.336,9.977.373,3051196.0,5275381.0,1304460.0,346336.0,9977373.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,308.352,235.849,141.300,25.634,711.135,308352.0,235849.0,141300.0,25634.0,711135.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,40.919,2.780,402,231,44.332,40919.0,2780.0,402.0,231.0,44332.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(2.046),2.046,-,-,-,-2046.0,2046.0,,,
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.671),(342.562),(39.639),(3.394),(392.266),-6671.0,-342562.0,-39639.0,-3394.0,-392266.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(7.862),(38),(523),(3.321),(11.744),-7862.0,-38.0,-523.0,-3321.0,-11744.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.383.888,5.173.456,1.406.000,365.486,10.328.830,3383888.0,5173456.0,1406000.0,365486.0,10328830.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(Trình bày lại),Giá trị còn lại > Số dư đầu năm(Trình bày lại),Số dư đầu năm(Trình bày lại),5.027.149,416.435,403.174,55.530,5.902.288,5027149.0,416435.0,403174.0,55530.0,5902288.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.925.090,531.851,446.100,73.597,5.976.638,4925090.0,531851.0,446100.0,73597.0,5976638.0
