row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,57.473.276,64.667.305,57473276.0,64667305.0
Công ty TNHH MTV Vốn Nhà nước 100%,Công ty TNHH MTV Vốn Nhà nước 100%,Công ty TNHH MTV Vốn Nhà nước 100%,18.111.962,18.056.105,18111962.0,18056105.0
Công ty TNHH hơn MTV Vốn Nhà nước trên 50%,Công ty TNHH hơn MTV Vốn Nhà nước trên 50%,Công ty TNHH hơn MTV Vốn Nhà nước trên 50%,7.315.766,7.683.364,7315766.0,7683364.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,305.453.058,265.724.512,305453058.0,265724512.0
Công ty Cổ phần Vốn Nhà nước trên 50%,Công ty Cổ phần Vốn Nhà nước trên 50%,Công ty Cổ phần Vốn Nhà nước trên 50%,24.093.291,21.118.103,24093291.0,21118103.0
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,404.203.159,343.378.559,404203159.0,343378559.0
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,31.641,4.190,31641.0,4190.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,13.762.447,12.626.249,13762447.0,12626249.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,77.453.184,59.650.759,77453184.0,59650759.0
Hợp tác xã và Liên hiệp Hợp tác xã,Hợp tác xã và Liên hiệp Hợp tác xã,Hợp tác xã và Liên hiệp Hợp tác xã,1.310.113,1.307.206,1310113.0,1307206.0
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",550.656.808,468.806.497,550656808.0,468806497.0
"Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đằng, đoàn thể và hiệp hội",765.890,907.848,765890.0,907848.0
Thành phần kinh tế khác,Thành phần kinh tế khác,Thành phần kinh tế khác,134.013,267.931,134013.0,267931.0
,,,1.460.764.608,1.264.198.628,1460764608.0,1264198628.0
