row_label_raw,row_label_full,Chỉ tiêu,Không chịu lãi > Triệu VND,Quá hạn > Trên 03 tháng > Triệu VND,Quá hạn > Đến 03 tháng > Triệu VND,Trong hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ 01-03 tháng > Triệu VND,Trong hạn > Từ 03-06 tháng > Triệu VND,Trong hạn > Từ 06 -12 tháng > Triệu VND,Trong hạn > Từ 01-05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Không chịu lãi > Triệu VND,numeric__Quá hạn > Trên 03 tháng > Triệu VND,numeric__Quá hạn > Đến 03 tháng > Triệu VND,numeric__Trong hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ 01-03 tháng > Triệu VND,numeric__Trong hạn > Từ 03-06 tháng > Triệu VND,numeric__Trong hạn > Từ 06 -12 tháng > Triệu VND,numeric__Trong hạn > Từ 01-05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,9.610.410,-,-,-,-,-,-,-,-,9.610.410,9610410.0,,,,,,,,,9610410.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,40.596.555,-,-,,-,-,-,-,-,40.596.555,40596555.0,,,,,,,,,40596555.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,-,227.243.305,11.933.643,26.853.689,10.753.957,-,-,276.784.594,,,,227243305.0,11933643.0,26853689.0,10753957.0,,,276784594.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,63.118,-,-,-,-,-,63.118,,,,63118.0,,,,,,63118.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,16.395.444,22.645.316,491.774.911,336.811.923,418.849.791,140.961.249,32.020.189,1.305.785,1.460.764.608,,16395444.0,22645316.0,491774911.0,336811923.0,418849791.0,140961249.0,32020189.0,1305785.0,1460764608.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),4.386.104,-,-,4.701.000,22.642.000,37.416.000,31.291.000,6.062.530,71.378.811,177.877.445,4386104.0,,,4701000.0,22642000.0,37416000.0,31291000.0,6062530.0,71378811.0,177877445.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",5.835.582,-,-,-,-,-,-,-,-,5.835.582,5835582.0,,,,,,,,,5835582.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,9.895.243,-,-,-,-,-,-,-,-,9.895.243,9895243.0,,,,,,,,,9895243.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),32.282.969,79.156,-,4.217.996,12.614.571,4.620.646,3.699.794,-,-,57.515.132,32282969.0,79156.0,,4217996.0,12614571.0,4620646.0,3699794.0,,,57515132.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,102.606.863,16.474.600,22.645.316,728.000.330,384.002.137,487.740.126,186.706.000,38.082.719,72.684.596,2.038.942.687,102606863.0,16474600.0,22645316.0,728000330.0,384002137.0,487740126.0,186706000.0,38082719.0,72684596.0,2038942687.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,21.054.176,-,376.423,383.506,-,-,21.814.105,,,,21054176.0,,376423.0,383506.0,,,21814105.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,259.360.233,27.657.144,4.620.646,3.699.794,-,-,295.337.817,,,,259360233.0,27657144.0,4620646.0,3699794.0,,,295337817.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,616.710.598,268.473.172,239.438.949,233.545.041,51.246.290,3.638,1.409.417.688,,,,616710598.0,268473172.0,239438949.0,233545041.0,51246290.0,3638.0,1409417688.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,-,552.633,-,-,-,-,-,552.633,,,,552633.0,,,,,,552633.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,1.548.148,615.851,-,-,-,2.163.999,,,,,1548148.0,615851.0,,,,2163999.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,1.119.448,23.132.670,33.149.600,51.831.459,1.252.550,4.890.000,115.375.727,,,,1119448.0,23132670.0,33149600.0,51831459.0,1252550.0,4890000.0,115375727.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,44.843.702,-,-,-,-,-,-,-,-,44.843.702,44843702.0,,,,,,,,,44843702.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,44.843.702,-,-,898.797.088,320.811.134,278.201.469,289.459.800,52.498.840,4.893.638,1.889.505.671,44843702.0,,,898797088.0,320811134.0,278201469.0,289459800.0,52498840.0,4893638.0,1889505671.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,57.763.161,16.474.600,22.645.316,(170.796.758),63.191.003,209.538.657,(102.753.800),(14.416.121),67.790.958,149.437.016,57763161.0,16474600.0,22645316.0,-170796758.0,63191003.0,209538657.0,-102753800.0,-14416121.0,67790958.0,149437016.0
