row_label_raw,row_label_full,col_0,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo riêng) > Tài sản,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo riêng) > Công nợ,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo riêng) > Giá trị thuần,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo riêng) > Tài sản,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo riêng) > Công nợ,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo riêng) > Giá trị thuần
,,,Triệu VND,Triệu VND,Triệu VND,,,
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31/12/2023 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,-,(464.245),(464.245),,-464245.0,-464245.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31/12/2023 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,-,(347.868),(347.868),,-347868.0,-347868.0
- Giao dịch hoán đối tiền tệ,Tại ngày 31/12/2023 > - Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,-,(116.377),(116.377),,-116377.0,-116377.0
Công cụ tài chính phải sinh lãi suất,Tại ngày 31/12/2023 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,-,(88.388),(88.388),,-88388.0,-88388.0
,,,-,(552.633),(552.633),,-552633.0,-552633.0
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31/12/2022 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,3.169.129,-,3.169.129,3169129.0,,3169129.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31/12/2022 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,127.406,-,127.406,127406.0,,127406.0
- Giao dịch hoán đối tiền tệ,Tại ngày 31/12/2022 > - Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,3.041.723,-,3.041.723,3041723.0,,3041723.0
Công cụ tài chính phải sinh lãi suất,Tại ngày 31/12/2022 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,-,(91.277),(91.277),,-91277.0,-91277.0
,,,3.169.129,(91.277),3.077.852,3169129.0,-91277.0,3077852.0
