row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Đơn vị: Triệu VND SỐ đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: Triệu VND SỐ đầu năm (Trình bày lại)
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,9.610.410,10.940.803,,5.0,9610410.0,10940803.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,40.596.555,29.726.607,,6.0,40596555.0,29726607.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,276.784.594,241.389.033,,7.0,276784594.0,241389033.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,260.206.169,223.981.711,,,260206169.0,223981711.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,16.578.425,17.407.322,,,16578425.0,17407322.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,8,63.118,-,,8.0,63118.0,
1.,A. > 1.,1.,Chứng khoán kinh doanh,,63.118,-,,,63118.0,
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,3.077.852,,9.0,,3077852.0
VI.,A. > VI.,VI.,Cho vay khách hàng,,1.433.266.054,1.235.007.756,,,1433266054.0,1235007756.0
1.,A. > 1.,1.,Cho vay khách hàng,10,1.460.764.608,1.264.198.628,,10.0,1460764608.0,1264198628.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(27.498.554),(29.190.872),,11.0,-27498554.0,-29190872.0
VII.,A. > VII.,VII.,Chứng khoán đầu tư,12,177.769.970,177.796.158,,12.0,177769970.0,177796158.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,12.1,177.090.667,176.271.031,,121.0,177090667.0,176271031.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,786.778,1.586.778,,122.0,786778.0,1586778.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,12.4,(107.475),(61.651),,124.0,-107475.0,-61651.0
VIII.,A. > VIII.,VIII.,"Gớp vốn, đầu tư dài hạn",13,5.835.582,5.551.782,,13.0,5835582.0,5551782.0
1.,A. > 1.,1.,Đầu tư vào công ty con,13.1,4.123.832,3.840.032,,131.0,4123832.0,3840032.0
2.,A. > 2.,2.,Vốn góp liên doanh,13.2,1.688.788,1.688.788,,132.0,1688788.0,1688788.0
3.,A. > 3.,3.,Đầu tư dài hạn khác,,22.962,22.962,,,22962.0,22962.0
IX.,A. > IX.,IX.,Tài sản cố định,,9.895.243,9.979.311,,,9895243.0,9979311.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,14,5.976.638,5.902.288,,14.0,5976638.0,5902288.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,16.305.468,15.879.661,,,16305468.0,15879661.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(10.328.830),(9.977.373),,,-10328830.0,-9977373.0
2.,A. > 2.,2.,Tài sản cố định vô hình,15,3.918.605,4.077.023,,15.0,3918605.0,4077023.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,6.665.612,6.642.707,,,6665612.0,6642707.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(2.747.007),(2.565.684),,,-2747007.0,-2565684.0
X.,A. > X.,X.,Tài sản Có khác,16,57.435.976,80.152.153,,16.0,57435976.0,80152153.0
1.,A. > 1.,1.,Các khoản phải thu,16.1,40.262.627,65.208.103,,161.0,40262627.0,65208103.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,14.359.841,12.129.744,,,14359841.0,12129744.0
3.,A. > 3.,3.,Tài sản Có khác,16.2,2.892.664,2.844.640,,162.0,2892664.0,2844640.0
4.,A. > 4.,4.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.3,(79.156),(30.334),,163.0,-79156.0,-30334.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,2.011.257.502,1.793.621.455,,,2011257502.0,1793621455.0
