row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm(Số liệu đã công bố),Số điều chỉnh,Số đầu năm(Trình bày lại),numeric__Số đầu năm(Số liệu đã công bố),numeric__Số điều chỉnh,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,Triệu VND,,,
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,78.201.955,(17.973),78.183.982,78201955.0,-17973.0,78183982.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,8.341.331,350,8.341.681,8341331.0,350.0,8341681.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,116.480.493,(17.223),116.463.270,116480493.0,-17223.0,116463270.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,101.995.068,(4.137.388),97.857.680,101995068.0,-4137388.0,97857680.0
