row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,7.000.462,7.320.838,7000462.0,7320838.0
Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,4.607.782,5.324.932,4607782.0,5324932.0
"Thu nhập từ chuyển nhượng, thanh lý tài sản","Thu nhập từ chuyển nhượng, thanh lý tài sản","Thu nhập từ chuyển nhượng, thanh lý tài sản",10.303,16.828,10303.0,16828.0
Thu nhập từ công cụ phải sinh khác,Thu nhập từ công cụ phải sinh khác,Thu nhập từ công cụ phải sinh khác,1.222.853,838.171,1222853.0,838171.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.159.524,1.140.907,1159524.0,1140907.0
Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.168.796),(897.863),-1168796.0,-897863.0
Chi phí từ công cụ phải sinh khác,Chi phí từ công cụ phải sinh khác,Chi phí từ công cụ phải sinh khác,(868.521),(407.547),-868521.0,-407547.0
"Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản",(2.591),(2.176),-2591.0,-2176.0
Chi phí khác,Chi phí khác,Chi phí khác,(297.684),(488.140),-297684.0,-488140.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,5.831.666,6.422.975,5831666.0,6422975.0
