row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Năm nay,numeric__Năm trước
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01.,01.,Mua sắm tài sản cố định,(781.738),(538.526),,-781738.0,-538526.0
02.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",10.303,16.828,,10303.0,16828.0
03.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 03.,03.,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",(2.591),(2.176),,-2591.0,-2176.0
04.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 04.,04.,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(283.800),-,,-283800.0,
05.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 05.,05.,"Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",627.606,540.491,,627606.0,540491.0
II.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > II.,II.,Lưu chuyển tiên thuần từ hoạt động đầu tư,(430.220),16.617,,-430220.0,16617.0
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01.,01.,"Cổ tức trả cho cố đông, lợi nhuận đã chia",-,(3.844.600),,,-3844600.0
III.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > III.,III.,Lưu chuyển tiên thuần từ hoạt động tài chính,-,(3.844.600),,,-3844600.0
IV.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV.,IV.,Lưu chuyển tiên thuần trong năm,27.372.676,80.592.895,,27372676.0,80592895.0
V.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > V.,V.,Tiền và các khoản tương đương tiền đầu năm,245.998.446,165.405.551,,245998446.0,165405551.0
VI.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI.,VI.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 34),273.371.122,245.998.446,,273371122.0,245998446.0
