row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,21.814.105,104.779.302,,17.0,21814105.0,104779302.0
1.,B. > 1.,1.,"Tiền gửi và vay Chính phủ, NHNN",,21.814.105,104.779.302,,,21814105.0,104779302.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,295.337.817,203.706.765,,18.0,295337817.0,203706765.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,18.1,258.392.237,138.777.306,,181.0,258392237.0,138777306.0
2.,B. > 2.,2.,Vay các TCTD khác,18.2,36.945.580,64.929.459,,182.0,36945580.0,64929459.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,1.409.417.688,1.247.162.170,,19.0,1409417688.0,1247162170.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,552.633,-,,9.0,552633.0,
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,2.163.999,2.392.201,,20.0,2163999.0,2392201.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,21,115.375.727,91.370.419,,21.0,115375727.0,91370419.0
VII.,B. > VII.,VII.,Các khoản nợ khác,,44.843.702,39.585.335,,,44843702.0,39585335.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,27.958.258,21.180.448,,,27958258.0,21180448.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,22,16.885.444,18.404.887,,22.0,16885444.0,18404887.0
TỔNG NỘ PHẢI TRẢ,B. > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,1.889.505.671,1.688.996.192,,,1889505671.0,1688996192.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,24,121.751.831,104.625.263,,24.0,121751831.0,104625263.0
1.,B. > 1.,1.,Vốn của TCTD,,62.669.744,57.027.333,,,62669744.0,57027333.0
a.,B. > a.,a.,Vốn điều lệ,,53.699.917,48.057.506,,,53699917.0,48057506.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,8.969.827,8.969.827,,,8969827.0,8969827.0
2.,B. > 2.,2.,Quỹ của TCTD,,18.618.137,15.690.243,,,18618137.0,15690243.0
3.,B. > 3.,3.,Lợi nhuận sau thuế chưa phân phối,,40.463.950,31.907.687,,,40463950.0,31907687.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.011.257.502,1.793.621.455,,,2011257502.0,1793621455.0
