row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,24.194.199,20.538.496,24194199.0,20538496.0
Cộng/(Trừ):,Cộng/(Trừ):,Cộng/(Trừ):,,,,
- Thu nhập từ cố tức và lợi nhuận được chia không chịu thuế,Cộng/(Trừ): > - Thu nhập từ cố tức và lợi nhuận được chia không chịu thuế,- Thu nhập từ cố tức và lợi nhuận được chia không chịu thuế,(627.606),(540.491),-627606.0,-540491.0
- Khác,Cộng/(Trừ): > - Khác,- Khác,120.461,56.180,120461.0,56180.0
Thu nhập chịu thuế,Cộng/(Trừ): > Thu nhập chịu thuế,Thu nhập chịu thuế,23.687.054,20.054.185,23687054.0,20054185.0
Thuế suất thuế TNDN,Cộng/(Trừ): > Thuế suất thuế TNDN,Thuế suất thuế TNDN,20%,20%,0.2,0.2
Chi phí thuế TNDN theo thuế suất,Cộng/(Trừ): > Chi phí thuế TNDN theo thuế suất,Chi phí thuế TNDN theo thuế suất,4.737.411,4.010.837,4737411.0,4010837.0
Thuế TNDN trong năm,Cộng/(Trừ): > Thuế TNDN trong năm,Thuế TNDN trong năm,4.737.411,4.010.837,4737411.0,4010837.0
Thuế TNDN phải trả đầu năm,Cộng/(Trừ): > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,2.939.383,659.571,2939383.0,659571.0
Thuế TNDN đã trả trong năm,Cộng/(Trừ): > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(4.623.873),(1.731.025),-4623873.0,-1731025.0
Điều chính chênh lệch thuế TNDN của các năm trước,Cộng/(Trừ): > Điều chính chênh lệch thuế TNDN của các năm trước,Điều chính chênh lệch thuế TNDN của các năm trước,6.867,-,6867.0,
Thuế TNDN còn phải nộp cuối năm,Cộng/(Trừ): > Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,3.059.788,2.939.383,3059788.0,2939383.0
