row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,727.572.437.118,417.341.985.199,100.0,,727572437118.0,417341985199.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,514.591.242.289,298.740.078.905,110.0,5.0,514591242289.0,298740078905.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,4.841.242.289,15.112.023.349,111.0,,4841242289.0,15112023349.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,509.750.000.000,283.628.055.556,112.0,,509750000000.0,283628055556.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,177.450.000.000,79.100.000.000,120.0,,177450000000.0,79100000000.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,6.1,177.450.000.000,79.100.000.000,123.0,61.0,177450000000.0,79100000000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,33.293.022.648,34.559.089.995,130.0,,33293022648.0,34559089995.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,,1.881.718.644,65.720.830,131.0,,1881718644.0,65720830.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,2.229.119.997,29.166.884.651,132.0,,2229119997.0,29166884651.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,7.1,25.600.000.000,-,135.0,71.0,25600000000.0,
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,3.582.184.007,5.326.484.514,136.0,8.0,3582184007.0,5326484514.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,,500.379.018,523.432.038,140.0,,500379018.0,523432038.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.737.793.163,4.419.384.261,150.0,,1737793163.0,4419384261.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,193.279.152,382.759.007,152.0,,193279152.0,382759007.0
Thuế phải thu Nhà nước,TÀI SẢN > Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,153,9,1.544.514.011,4.036.625.254,153.0,9.0,1544514011.0,4036625254.0
