row_label_raw,row_label_full,"Tiền gửi ngân hàng, các khoản tương đương tiền và đầu tư nắm giữ đến ngày đáo hạn",Thuyết minh > (a),31/12/2015 Triệu VND > 691.889,1/1/2015 Triệu VND > 377.601,numeric__Thuyết minh > (a),numeric__31/12/2015 Triệu VND > 691.889,numeric__1/1/2015 Triệu VND > 377.601
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,(b),5.468,5.396,,5468.0,5396.0
Phải thu về cho vay ngắn hạn và dài hạn,Phải thu về cho vay ngắn hạn và dài hạn,Phải thu về cho vay ngắn hạn và dài hạn,(c),297.600,190.500,,297600.0,190500.0
Hợp đồng bảo lãnh đã phát hành,Hợp đồng bảo lãnh đã phát hành,Hợp đồng bảo lãnh đã phát hành,(d),-,1.800.000,,,1800000.0
,,,,994.957,2.373.497,,994957.0,2373497.0
