row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn,1/1/2015(phân loại lại)VND > 79.100.000.000,1/1/2015(theo báo cáotrước đây)VND > -,numeric__1/1/2015(phân loại lại)VND > 79.100.000.000,numeric__1/1/2015(theo báo cáotrước đây)VND > -
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,-,79.100.000.000,,79100000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,5.326.484.514,5.099.928.949,5326484514.0,5099928949.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,226.555.565,,226555565.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,4.000.000,-,4000000.0,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,-,4.000.000,,4000000.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,190.500.000.000,-,190500000000.0,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,700.000.000,191.200.000.000,700000000.0,191200000000.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,210.868.755.750,,210868755750.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,210.868.755.750,-,210868755750.0,
