row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ dự phòng tài chính VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự phòng tài chính VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,4.190.525.330.000,2.207.350.817.068,-,151.441.755.750,-,1.268.385.085.244,7.817.702.988.062,4190525330000.0,2207350817068.0,,151441755750.0,,1268385085244.0,7817702988062.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.188.534.365.129,1.188.534.365.129,,,,,,1188534365129.0,1188534365129.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,628.556.420.000,-,-,-,-,(628.556.420.000),-,628556420000.0,,,,,-628556420000.0,
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(628.578.799.500),(628.578.799.500),,,,,,-628578799500.0,-628578799500.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(136.569.124.165),(136.569.124.165),,,,,,-136569124165.0,-136569124165.0
Trích bổ sung quỹ dự phòng tài chính,Trích bổ sung quỹ dự phòng tài chính,Trích bổ sung quỹ dự phòng tài chính,-,-,-,59.427.000.000,-,(59.427.000.000),-,,,,59427000000.0,,-59427000000.0,
Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thù lao thành viên Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,-,(50.000.000),(50.000.000),,,,,,-50000000.0,-50000000.0
Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,4.819.081.750.000,2.207.350.817.068,-,210.868.755.750,-,1.003.738.106.708,8.241.039.429.526,4819081750000.0,2207350817068.0,,210868755750.0,,1003738106708.0,8241039429526.0
Phân loại lại (Thuyết minh 31),Phân loại lại (Thuyết minh 31),Phân loại lại (Thuyết minh 31),-,-,-,(210.868.755.750),210.868.755.750,-,-,,,,-210868755750.0,210868755750.0,,
Số dư tại ngày 1 tháng 1 năm 2015– đã phân loại lại,Số dư tại ngày 1 tháng 1 năm 2015– đã phân loại lại,Số dư tại ngày 1 tháng 1 năm 2015– đã phân loại lại,4.819.081.750.000,2.207.350.817.068,-,-,210.868.755.750,1.003.738.106.708,8.241.039.429.526,4819081750000.0,2207350817068.0,,,210868755750.0,1003738106708.0,8241039429526.0
