row_label_raw,row_label_full,col_0,Thiết bịvăn phòngVND,Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,TổngVND,numeric__Thiết bịvăn phòngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,16.219.173.982,1.447.945.455,27.369.174.722,45.036.294.159,16219173982.0,1447945455.0,27369174722.0,45036294159.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.373.530.637,3.013.685.900,1.101.058.182,5.488.274.719,1373530637.0,3013685900.0,1101058182.0,5488274719.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(507.567.636),(507.567.636),,,-507567636.0,-507567636.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,17.592.704.619,4.461.631.355,27.962.665.268,50.017.001.242,17592704619.0,4461631355.0,27962665268.0,50017001242.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.087.458.753,629.417.065,14.358.862.216,25.075.738.034,10087458753.0,629417065.0,14358862216.0,25075738034.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.386.015.818,506.213.873,2.946.975.789,5.839.205.480,2386015818.0,506213873.0,2946975789.0,5839205480.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(507.567.636),(507.567.636),,,-507567636.0,-507567636.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,12.473.474.571,1.135.630.938,16.798.270.369,30.407.375.878,12473474571.0,1135630938.0,16798270369.0,30407375878.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.131.715.229,818.528.390,13.010.312.506,19.960.556.125,6131715229.0,818528390.0,13010312506.0,19960556125.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.119.230.048,3.326.000.417,11.164.394.899,19.609.625.364,5119230048.0,3326000417.0,11164394899.0,19609625364.0
