row_label_raw,row_label_full,a. Đầu tư nắm giữ đến ngày đáo hạn,Số cuối năm > Giá gốcVND > 1.593.039.336.332,Số cuối năm > Giá trị ghi sốVND > 1.593.039.336.332,Số đầu năm > Giá gốcVND > 1.028.368.640.271,Số đầu năm > Giá trị ghi sốVND > 1.028.368.640.271,numeric__Số cuối năm > Giá gốcVND > 1.593.039.336.332,numeric__Số cuối năm > Giá trị ghi sốVND > 1.593.039.336.332,numeric__Số đầu năm > Giá gốcVND > 1.028.368.640.271,numeric__Số đầu năm > Giá trị ghi sốVND > 1.028.368.640.271
a1) Ngân hạn,a1) Ngân hạn,a1) Ngân hạn,-,-,1.028.368.640.271,1.028.368.640.271,,,1028368640271.0,1028368640271.0
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,1.593.039.336.332,1.593.039.336.332,1.028.368.640.271,1.028.368.640.271,1593039336332.0,1593039336332.0,1028368640271.0,1028368640271.0
,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
,,,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,,
b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,269.457.441.356,(13.150.453.685),200.459.441.356,(10.298.291.181),269457441356.0,-13150453685.0,200459441356.0,-10298291181.0
b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,263.457.441.356,(13.150.453.685),194.459.441.356,(10.298.291.181),263457441356.0,-13150453685.0,194459441356.0,-10298291181.0
b2) Đầu tư vào đơn vị khác,b2) Đầu tư vào đơn vị khác,b2) Đầu tư vào đơn vị khác,6.000.000.000,-,6.000.000.000,-,6000000000.0,,6000000000.0,
