row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,3.863.679.617.579,3.631.795.847.521,100.0,,3863679617579.0,3631795847521.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,313.025.494.504,282.027.493.486,110.0,5.0,313025494504.0,282027493486.0
1. Tiền,1. Tiền,1. Tiền,111,,68.177.885.217,40.874.417.168,111.0,,68177885217.0,40874417168.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,244.847.609.287,241.153.076.318,112.0,,244847609287.0,241153076318.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,1.593.039.336.332,1.028.368.640.271,120.0,6.0,1593039336332.0,1028368640271.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,1.593.039.336.332,1.028.368.640.271,123.0,,1593039336332.0,1028368640271.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,954.040.327.025,998.009.596.472,130.0,,954040327025.0,998009596472.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,937.009.031.589,1.136.899.371.137,131.0,,937009031589.0,1136899371137.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,,31.123.078.317,28.431.272.232,132.0,,31123078317.0,28431272232.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,,41.472.449.393,23.324.272.650,136.0,,41472449393.0,23324272650.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,,(55.564.232.274),(190.645.319.547),137.0,,-55564232274.0,-190645319547.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,8,369.982.688.440,473.753.502.668,140.0,8.0,369982688440.0,473753502668.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,369.982.688.440,473.753.502.668,141.0,,369982688440.0,473753502668.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,633.591.771.278,849.636.614.624,150.0,,633591771278.0,849636614624.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,9,505.128.057.529,685.420.273.936,151.0,9.0,505128057529.0,685420273936.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,16.674.392.147,61.486.085.601,152.0,,16674392147.0,61486085601.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,10,111.789.321.602,102.730.255.087,153.0,10.0,111789321602.0,102730255087.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.980.768.394.316,3.728.810.401.782,200.0,,3980768394316.0,3728810401782.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,37.062.784,2.981.643.243,210.0,,37062784.0,2981643243.0
