row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,nắm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__nắm giữ,numeric__Hoạt động chính
Công ty Cổ phần Dịch vụTrực tuyến FPT (FOC),Công ty Cổ phần Dịch vụTrực tuyến FPT (FOC),Công ty Cổ phần Dịch vụTrực tuyến FPT (FOC),"Lô 29B - 31B - 33B Đường TânThuận, Khu chế xuất Tân Thuận,Phường Tân thuận Đông, quận 7,Thành phố Hồ Chí Minh","59,12%","Cung cấp dịch vụ Gameonline, báo điện tử, thanhtoán điện tử",,0.5912,
Công ty TNHH MTV Viễnthông FPT Tân Thuận,Công ty TNHH MTV Viễnthông FPT Tân Thuận,Công ty TNHH MTV Viễnthông FPT Tân Thuận,"Lô 29B - 31B - 33B Đường TânThuận, Khu chế xuất Tân Thuận,Phường Tân thuận Đông, quận 7,Thành phố Hồ Chí Minh",100%,Cung cấp dịch vụ internettốc độ cao và các dịch vụviễn thông khác,,1.0,
Công ty TNHH MTV Viễnthông Quốc tế FPT (FTI),Công ty TNHH MTV Viễnthông Quốc tế FPT (FTI),Công ty TNHH MTV Viễnthông Quốc tế FPT (FTI),"Lô 29B - 31B - 33B Đường TânThuận, Khu chế xuất Tân Thuận,Phường Tân thuận Đông, quận 7,Thành phố Hồ Chí Minh",100%,"Cung cấp dịch vụ internet,đại lý cung cấp dịch vụ viếnthông và các dịch vụ khác",,1.0,
Công ty TNHH MTV Giàipháp phần mềm doanhnghiệp FPT (FSS),Công ty TNHH MTV Giàipháp phần mềm doanhnghiệp FPT (FSS),Công ty TNHH MTV Giàipháp phần mềm doanhnghiệp FPT (FSS),"Lô 29B - 31B - 33B Đường TânThuận, Khu chế xuất Tân Thuận,Phường Tân thuận Đông, quận 7,Thành phố Hồ Chí Minh",100%,Sản xuất phần mềm,,1.0,
Công ty Cổ phần Côngnghệ Viễn thông FPT(FCN),Công ty Cổ phần Côngnghệ Viễn thông FPT(FCN),Công ty Cổ phần Côngnghệ Viễn thông FPT(FCN),"Lô T2-5 Đường D1 Khu Côngnghệ cao, Phường Tăng NhơnPhú A, Quận 9, Thành phố HồChí Minh",99.99%,Cung cấp các dịch vụInternet tốc độ cao và cácdịch vụ viễn thông khác,,99.99,
