row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.033.746.086.326,4.959.756.011.621,,300.0,,5033746086326.0,4959756011621.0
I.,I.,I.,Nợ ngắn hạn,310,,4.584.625.890.656,4.514.746.295.618,,310.0,,4584625890656.0,4514746295618.0
I.,I.,I.,1. Phải trả người bán ngắn hạn,311,,1.018.442.073.189,1.255.012.162.765,,311.0,,1018442073189.0,1255012162765.0
I.,I.,I.,2. Thuế và các khoản phải nộp Nhà nước,313,10,40.120.991.889,70.540.042.708,,313.0,10.0,40120991889.0,70540042708.0
I.,I.,I.,3. Phải trả người lao động,314,,371.877.557,276.978.849,,314.0,,371877557.0,276978849.0
I.,I.,I.,4. Chi phí phải trả ngắn hạn,315,14,256.850.594.476,251.422.070.956,,315.0,14.0,256850594476.0,251422070956.0
I.,I.,I.,5. Doanh thu chưa thực hiện ngắn hạn,318,,758.596.537.864,1.056.281.871.620,,318.0,,758596537864.0,1056281871620.0
I.,I.,I.,6. Phải trả ngắn hạn khác,319,,284.751.738.365,105.540.969.334,,319.0,,284751738365.0,105540969334.0
I.,I.,I.,7. Vay và nợ thuê tài chính ngắn hạn,320,15,2.094.181.289.625,1.660.677.134.056,,320.0,15.0,2094181289625.0,1660677134056.0
I.,I.,I.,"8. Quỹ khen thưởng, phúc lợi",322,17,131.310.787.691,114.995.065.330,,322.0,17.0,131310787691.0,114995065330.0
II.,II.,II.,Nợ dài hạn,330,,449.120.195.670,445.009.716.003,,330.0,,449120195670.0,445009716003.0
II.,II.,II.,1. Phải trả dài hạn khác,337,,-,364.134.497,,337.0,,,364134497.0
II.,II.,II.,2. Vay và nợ thuê tài chính dài hạn,338,16,449.120.195.670,444.645.581.506,,338.0,16.0,449120195670.0,444645581506.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,2.810.701.925.569,2.400.850.237.682,,400.0,,2810701925569.0,2400850237682.0
I.,I.,I.,Vốn chủ sở hữu,410,18,2.810.701.925.569,2.400.850.237.682,,410.0,18.0,2810701925569.0,2400850237682.0
I.,I.,I.,1. Vốn góp của chủ sở hữu,411,,1.370.786.090.000,1.246.198.090.000,,411.0,,1370786090000.0,1246198090000.0
I.,I.,I.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.370.786.090.000,1.246.198.090.000,,,,1370786090000.0,1246198090000.0
I.,I.,I.,2. Cổ phiếu quỹ,415,,(300.150.000),(300.150.000),,415.0,,-300150000.0,-300150000.0
I.,I.,I.,3. Quỹ đầu tư phát triển,418,,131.972.384.482,-,,418.0,,131972384482.0,
I.,I.,I.,4. Lợi nhuận sau thuế chưa phân phối,421,,1.308.243.601.087,1.154.952.297.682,,421.0,,1308243601087.0,1154952297682.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,780.149.508.348,453.770.730.061,,,,780149508348.0,453770730061.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,528.094.092.739,701.181.567.621,,,,528094092739.0,701181567621.0
