row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Số năm nay,Số năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số năm nay,numeric__Số năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,21,5.369.609.025.050,4.458.824.016.030,1.0,21.0,5369609025050.0,4458824016030.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,21,22.014.892.660,10.695.802.593,2.0,21.0,22014892660.0,10695802593.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,5.347.594.132.390,4.448.128.213.437,10.0,,5347594132390.0,4448128213437.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,22,3.057.638.850.458,2.448.606.508.527,11.0,22.0,3057638850458.0,2448606508527.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.289.955.281.932,1.999.521.704.910,20.0,,2289955281932.0,1999521704910.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,24,365.203.815.209,268.078.478.801,21.0,24.0,365203815209.0,268078478801.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,25,155.958.231.308,86.899.501.548,22.0,25.0,155958231308.0,86899501548.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,150.786.913.155,66.726.228.145,23.0,,150786913155.0,66726228145.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,475.241.711.365,434.303.533.507,25.0,,475241711365.0,434303533507.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,,1.061.606.610.133,878.072.285.287,26.0,,1061606610133.0,878072285287.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,962.352.544.335,868.324.863.369,30.0,,962352544335.0,868324863369.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,2.573.727.168,5.024.937.722,31.0,,2573727168.0,5024937722.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,3.978.987.496,2.477.436.375,32.0,,3978987496.0,2477436375.0
13. (Lỗ)/Lợi nhuận từ hoạt động kinh doanh khác (40=31-32),13. (Lỗ)/Lợi nhuận từ hoạt động kinh doanh khác (40=31-32),13. (Lỗ)/Lợi nhuận từ hoạt động kinh doanh khác (40=31-32),40,,(1.405.260.328),2.547.501.347,40.0,,-1405260328.0,2547501347.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,960.947.284.007,870.872.364.716,50.0,,960947284007.0,870872364716.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,26,68.803.482.537,64.470.556.146,51.0,26.0,68803482537.0,64470556146.0
16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,26,7.042.276.794,22.565.329.298,52.0,26.0,7042276794.0,22565329298.0
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,885.101.524.676,783.836.479.272,60.0,,885101524676.0,783836479272.0
