row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm(Trình bày lại),Trong năm > Số phải thu/nộp,Trong năm > Số đã thu/nộp hoặc bù trừ,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Trong năm > Số phải thu/nộp,numeric__Trong năm > Số đã thu/nộp hoặc bù trừ,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,20.491.430.237,15.112.998.887,5.378.431.350,,20491430237.0,15112998887.0,5378431350.0
- Thuế GTGT đầu ra,a) Các khoản phải thu > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,-,20.491.430.237,15.112.998.887,5.378.431.350,,20491430237.0,15112998887.0,5378431350.0
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,102.684.839.480,3.330.668.639,197.999,106.015.310.120,102684839480.0,3330668639.0,197999.0,106015310120.0
Các loại thuế khác,a) Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,45.415.607,4.051.392.115,3.701.227.590,395.580.132,45415607.0,4051392115.0,3701227590.0,395580132.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,102.730.255.087,27.873.490.991,18.814.424.476,111.789.321.602,102730255087.0,27873490991.0,18814424476.0,111789321602.0
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,9.263.059.855,305.714.688.832,297.773.934.671,17.203.814.016,9263059855.0,305714688832.0,297773934671.0,17203814016.0
- Thuế GTGT đầu ra,b) Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,9.263.059.855,220.237.705.041,212.296.950.880,17.203.814.016,9263059855.0,220237705041.0,212296950880.0,17203814016.0
- Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,85.476.983.791,85.476.983.791,-,,85476983791.0,85476983791.0,
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",284.787,4.562.700.877,4.562.985.664,-,284787.0,4562700877.0,4562985664.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,59.012.788.694,68.803.482.537,106.084.863.172,21.731.408.059,59012788694.0,68803482537.0,106084863172.0,21731408059.0
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,2.263.909.372,23.984.957.680,25.063.097.238,1.185.769.814,2263909372.0,23984957680.0,25063097238.0,1185769814.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,173.000.000,173.000.000,-,,173000000.0,173000000.0,
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.227.411.417,19.139.347.600,20.243.831.128,1.122.927.889,2227411417.0,19139347600.0,20243831128.0,1122927889.0
Thuế khác,b) Các khoản phải trả > Thuế khác,Thuế khác,36.497.955,4.672.610.080,4.646.266.110,62.841.925,36497955.0,4672610080.0,4646266110.0,62841925.0
Nộp khác,b) Các khoản phải trả > Nộp khác,Nộp khác,-,813.805,813.805,-,,813805.0,813805.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,70.540.042.708,403.066.643.731,433.485.694.550,40.120.991.889,70540042708.0,403066643731.0,433485694550.0,40120991889.0
