row_label_raw,row_label_full,col_0,Nhà xuống vàvật kiến trúc,Máy móc và thiết bị,Phương tiệnvận tải,Thiết bị quản lý,Tài sản khác,Tổng cộng,numeric__Nhà xuống vàvật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị quản lý,numeric__Tài sản khác,numeric__Tổng cộng
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,2.615.869.421,789.979.470.559,(4.226.731.454),(87.483.102.702),(13.069.385.291),687.816.120.533,2615869421.0,789979470559.0,-4226731454.0,-87483102702.0,-13069385291.0,687816120533.0
Khẩu hao trong kỳ,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong kỳ,Khẩu hao trong kỳ,2.615.869.421,658.263.564.144,972.387.253,23.468.546.903,57.448.077,685.377.815.798,2615869421.0,658263564144.0,972387253.0,23468546903.0,57448077.0,685377815798.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,-,-,2.438.304.735,-,2.438.304.735,,,,2438304735.0,,2438304735.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,131.715.906.415,(5.199.118.707),(113.389.954.340),(13.126.833.368),-,,131715906415.0,-5199118707.0,-113389954340.0,-13126833368.0,
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,2.359.086.174,677.087.727,-,-,3.036.173.901,,2359086174.0,677087727.0,,,3036173901.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,2.359.086.174,677.087.727,-,-,3.036.173.901,,2359086174.0,677087727.0,,,3036173901.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,21.983.361.433,2.384.902.334.238,15.931.135.685,370.232.780.025,11.169.403.947,2.804.219.015.328,21983361433.0,2384902334238.0,15931135685.0,370232780025.0,11169403947.0,2804219015328.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,51.206.980.399,2.394.291.359.495,21.349.942.042,241.865.462.085,59.282.713.229,2.767.996.457.250,51206980399.0,2394291359495.0,21349942042.0,241865462085.0,59282713229.0,2767996457250.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,48.591.110.978,2.642.425.476.283,20.377.554.789,227.362.921.088,13.796.093.569,2.952.553.156.707,48591110978.0,2642425476283.0,20377554789.0,227362921088.0,13796093569.0,2952553156707.0
