row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Cố phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Cố phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.246.198.090.000,(300.150.000),,827.540.112.061,1.445.674.007.019,1246198090000.0,-300150000.0,,827540112061.0,1445674007019.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,783.836.479.272,783.836.479.272,,,,783836479272.0,783836479272.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,-,-,-,(373.769.382.000),(373.769.382.000),,,,-373769382000.0,-373769382000.0
Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,-,-,-,(77.904.965.511),(77.904.965.511),,,,-77904965511.0,-77904965511.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(4.749.946.140),(4.749.946.140),,,,-4749946140.0,-4749946140.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.246.198.090.000,(300.150.000),-,1.154.952.297.682,2.400.850.237.682,1246198090000.0,-300150000.0,,1154952297682.0,2400850237682.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,124.588.000.000,-,-,(124.588.000.000),-,124588000000.0,,,-124588000000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,885.101.524.676,885.101.524.676,,,,885101524676.0,885101524676.0
Chia cổ tức bằng tiễn mặt,Chia cổ tức bằng tiễn mặt,Chia cổ tức bằng tiễn mặt,-,-,-,(386.228.182.000),(386.228.182.000),,,,-386228182000.0,-386228182000.0
Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,-,-,131.972.384.482,(131.972.384.482),-,,,131972384482.0,-131972384482.0,
Trích quỹ KTPL,Trích quỹ KTPL,Trích quỹ KTPL,-,-,-,(87.981.589.655),(87.981.589.655),,,,-87981589655.0,-87981589655.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(1.040.065.134),(1.040.065.134),,,,-1040065134.0,-1040065134.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.370.786.090.000,(300.150.000),131.972.384.482,1.308.243.601.087,2.810.701.925.569,1370786090000.0,-300150000.0,131972384482.0,1308243601087.0,2810701925569.0
