row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Số cuối năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Số cuối năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,6.898.693.876.705,,100.0,6898693876705.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,302.683.551.745,,110.0,302683551745.0
I.,I.,I.,1. Tiền,111,57.835.942.458,,111.0,57835942458.0
I.,I.,I.,2. Các khoản tương đương tiền,112,244.847.609.287,,112.0,244847609287.0
II.,II.,II.,Các khoản phải thu ngắn hạn,130,5.336.539.405.171,,130.0,5336539405171.0
II.,II.,II.,1. Phải thu ngắn hạn của khách hàng,131,3.528.456.468.709,,131.0,3528456468709.0
II.,II.,II.,2. Trả trước cho người bán ngắn hạn,132,31.028.361.840,,132.0,31028361840.0
II.,II.,II.,3. Phải thu nội bộ ngắn hạn,133,1.822.014.138.330,,133.0,1822014138330.0
II.,II.,II.,4. Phải thu ngắn hạn khác,136,10.113.949.566,,136.0,10113949566.0
II.,II.,II.,5. Dự phòng phải thu ngắn hạn khó đòi,137,(55.073.513.274),,137.0,-55073513274.0
III.,III.,III.,Hàng tồn kho,140,626.091.515.821,,140.0,626091515821.0
III.,III.,III.,1. Hàng tồn kho,141,626.091.515.821,,141.0,626091515821.0
IV.,IV.,IV.,Tài sản ngắn hạn khác,150,633.379.403.968,,150.0,633379403968.0
IV.,IV.,IV.,1. Chi phí trả trước ngắn hạn,151,504.915.690.219,,151.0,504915690219.0
IV.,IV.,IV.,2. Thuế giá trị gia tăng được khấu trừ,152,16.674.392.147,,152.0,16674392147.0
IV.,IV.,IV.,3. Thuế và các khoản khác phải thu Nhà nước,153,111.789.321.602,,153.0,111789321602.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,3.703.924.490.772,,200.0,3703924490772.0
I.,I.,I.,Các khoản phải thu dài hạn,210,37.062.784,,210.0,37062784.0
I.,I.,I.,1. Phải thu dài hạn khác,216,37.062.784,,216.0,37062784.0
II.,II.,II.,Tài sản cố định,220,2.849.390.207.225,,220.0,2849390207225.0
II.,II.,II.,1. Tài sản cố định hữu hình,221,2.696.153.045.201,,221.0,2696153045201.0
II.,II.,II.,- Nguyên giá,222,4.582.674.780.201,,222.0,4582674780201.0
II.,II.,II.,- Giá trị hao mòn lũy kế,223,(1.886.521.735.000),,223.0,-1886521735000.0
II.,II.,II.,2. Tài sản cố định vô hình,227,153.237.162.024,,227.0,153237162024.0
II.,II.,II.,- Nguyên giá,228,273.145.605.335,,228.0,273145605335.0
II.,II.,II.,- Giá trị hao mòn lũy kế,229,(119.908.443.311),,229.0,-119908443311.0
III.,III.,III.,Tài sản dở dang dài hạn,240,201.319.870.575,,240.0,201319870575.0
III.,III.,III.,1. Chi phí xây dựng cơ bản dở dang,242,201.319.870.575,,242.0,201319870575.0
IV.,IV.,IV.,Các khoản đầu tư tài chính dài hạn,250,256.306.987.671,,250.0,256306987671.0
IV.,IV.,IV.,1. Đầu tư vào công ty con,251,263.457.441.356,,251.0,263457441356.0
IV.,IV.,IV.,2. Đầu tư góp vốn vào đơn vị khác,253,6.000.000.000,,253.0,6000000000.0
IV.,IV.,IV.,3. Dư phòng đầu tư tài chính dài hạn,254,(13.150.453.685),,254.0,-13150453685.0
V.,V.,V.,Tài sản dài hạn khác,260,396.870.362.517,,260.0,396870362517.0
V.,V.,V.,1. Chi phí trả trước dài hạn,261,347.181.102.590,,261.0,347181102590.0
V.,V.,V.,2. Tài sản thuê thu nhập hoãn lại,262,49.689.259.927,,262.0,49689259927.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,10.602.618.367.477,,270.0,10602618367477.0
