row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Số năm nay,Số năm trước,numeric__Mã số,numeric__Số năm nay,numeric__Số năm trước
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.308.737.423.111,900.094.962.791,20.0,1308737423111.0,900094962791.0
II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(982.632.703.126),(1.465.086.950.940),21.0,-982632703126.0,-1465086950940.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,187.129.091,230.000.000,22.0,187129091.0,230000000.0
"3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(564.670.696.061),(1.026.679.671.836),23.0,-564670696061.0,-1026679671836.0
4. Tiền chi đầu tư góp vốn vào các đơn vị khác,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền chi đầu tư góp vốn vào các đơn vị khác,4. Tiền chi đầu tư góp vốn vào các đơn vị khác,25,(68.998.000.000),-,25.0,-68998000000.0,
"5. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","5. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",27,149.689.259.170,60.214.909.228,27.0,149689259170.0,60214909228.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.466.425.010.926),(2.431.321.713.548),30.0,-1466425010926.0,-2431321713548.0
III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,2.971.812.214.509,3.481.357.114.375,33.0,2971812214509.0,3481357114375.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(2.533.833.444.776),(2.074.834.677.138),34.0,-2533833444776.0,-2074834677138.0
"3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(249.293.180.900),(373.698.566.625),36.0,-249293180900.0,-373698566625.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,188.685.588.833,1.032.823.870.612,40.0,188685588833.0,1032823870612.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,30.998.001.018,(498.402.880.145),50.0,30998001018.0,-498402880145.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,282.027.493.486,780.430.373.632,60.0,282027493486.0,780430373632.0
Tiền và tương đương tiền cuối năm (70=50+60),III. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60),Tiền và tương đương tiền cuối năm (70=50+60),70,313.025.494.504,282.027.493.486,70.0,313025494504.0,282027493486.0
