row_label_raw,row_label_full,Bên liên quan,Mỗi quan hệ,numeric__Mỗi quan hệ
Công ty Cổ phần FPT - Công ty mẹ,Công ty Cổ phần FPT - Công ty mẹ,Công ty Cổ phần FPT - Công ty mẹ,Công ty mẹ,
Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI),Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI),Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI),Công ty con,
Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC),Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC),Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC),Công ty con,
Công ty TNHH MTV Viễn thông FPT Tân Thuận (CTTT),Công ty TNHH MTV Viễn thông FPT Tân Thuận (CTTT),Công ty TNHH MTV Viễn thông FPT Tân Thuận (CTTT),Công ty con,
Công ty TNHH MTV Giải pháp phần mềm doanh nghiệp FPT (FSS),Công ty TNHH MTV Giải pháp phần mềm doanh nghiệp FPT (FSS),Công ty TNHH MTV Giải pháp phần mềm doanh nghiệp FPT (FSS),Công ty con,
Công ty TNHH Thương mại FPT (FTG),Công ty TNHH Thương mại FPT (FTG),Công ty TNHH Thương mại FPT (FTG),Cùng Tập đoàn,
Công ty TNHH Phần mềm FPT (FSO),Công ty TNHH Phần mềm FPT (FSO),Công ty TNHH Phần mềm FPT (FSO),Cùng Tập đoàn,
Công ty TNHH Hệ thống thông tin FPT (FIS),Công ty TNHH Hệ thống thông tin FPT (FIS),Công ty TNHH Hệ thống thông tin FPT (FIS),Cùng Tập đoàn,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT (FRT),Cùng Tập đoàn,
Công ty TNHH Phân phối FPT (FDC),Công ty TNHH Phân phối FPT (FDC),Công ty TNHH Phân phối FPT (FDC),Cùng Tập đoàn,
