row_label_raw,row_label_full,Số đã trình bày,Số đã trình bày_1,Số đã trình bày_2,Số trình bày lại,Số trình bày lại_1,Số trình bày lại_2,Thay đổi,numeric__Số đã trình bày_1,numeric__Số đã trình bày_2,numeric__Số trình bày lại,numeric__Số trình bày lại_1,numeric__Số trình bày lại_2,numeric__Thay đổi
Tên chỉ tiêu,Tên chỉ tiêu,Tên chỉ tiêu,Mã số,Số đầu năm VND,Tên chỉ tiêu,Mã số,Số đầu năm VND,,,,,,,
BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,,,,,,
I. Tài sản,I. Tài sản,I. Tài sản,,,I. Tài sản,,,,,,,,,
Thuế và các khoản khác phải thu Nhà nước,I. Tài sản > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,9.489.508.397,Thuế và các khoản khác phải thu Nhà nước,153,102.730.255.087,Trình bày lại (i),153.0,9489508397.0,,153.0,102730255087.0,
Tài sản thuế TNDN hoãn lại,I. Tài sản > Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,262,149.972.003.408,Phải thu dài hạn khác,262,56.731.256.718,Trình bày lại (i),262.0,149972003408.0,,262.0,56731256718.0,
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,,,,
Chi phí thuế thu nhập doanh nghiệp hiện hành,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,01,157.711.302.836,Chi phí thuế thu nhập doanh nghiệp hiện hành,01,64.470.556.146,Trình bày lại (i),1.0,157711302836.0,,1.0,64470556146.0,
Thuế thu nhập doanh nghiệp hoãn lại,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,02,(70.675.417.394),Thuế thu nhập doanh nghiệp hoãn lại,02,22.565.329.298,Trình bày lại (i),2.0,-70675417394.0,,2.0,22565329298.0,
