row_label_raw,row_label_full,col_0,Quyền sử dụng đấtVND,Giấy phép và quyền khai thácVND,Phân mềm máy vi tínhVND,Tổng cộngVND,numeric__Quyền sử dụng đấtVND,numeric__Giấy phép và quyền khai thácVND,numeric__Phân mềm máy vi tínhVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,12.708.112.000,220.835.280.275,25.938.983.136,259.482.375.411,12708112000.0,220835280275.0,25938983136.0,259482375411.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,11.750.489.495,3.346.986.819,15.097.476.314,,11750489495.0,3346986819.0,15097476314.0
Tăng do mua trong năm,NGUYÊN GIÁ > Tăng do mua trong năm,Tăng do mua trong năm,-,11.750.489.495,3.346.986.819,15.097.476.314,,11750489495.0,3346986819.0,15097476314.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,1.343.727.061,1.343.727.061,,,1343727061.0,1343727061.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,1.343.727.061,1.343.727.061,,,1343727061.0,1343727061.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,12.708.112.000,232.585.769.770,27.942.242.894,273.236.124.664,12708112000.0,232585769770.0,27942242894.0,273236124664.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số đầu năm(Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm(Trình bày lại),Số đầu năm(Trình bày lại),-,79.258.864.263,22.470.205.017,101.729.069.280,,79258864263.0,22470205017.0,101729069280.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,-,16.861.682.990,2.464.571.779,19.326.254.769,,16861682990.0,2464571779.0,19326254769.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,-,16.861.682.990,2.464.571.779,19.326.254.769,,16861682990.0,2464571779.0,19326254769.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,1.056.361.409,1.056.361.409,,,1056361409.0,1056361409.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,-,1.056.361.409,1.056.361.409,,,1056361409.0,1056361409.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,-,96.120.547.253,23.878.415.387,119.998.962.640,,96120547253.0,23878415387.0,119998962640.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,12.708.112.000,141.576.416.012,3.468.778.119,157.753.306.131,12708112000.0,141576416012.0,3468778119.0,157753306131.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,12.708.112.000,136.465.222.517,4.063.827.507,153.237.162.024,12708112000.0,136465222517.0,4063827507.0,153237162024.0
