row_label_raw,row_label_full,Chi tiêu,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrả nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrả nợVND
Vay ngắn hạn (VND),Vay ngắn hạn (VND),Vay ngắn hạn (VND),1.593.832.678.874,1.593.832.678.874,2.761.814.663.586,2.466.988.989.594,1.888.658.352.866,1.888.658.352.866,1593832678874.0,1593832678874.0,2761814663586.0,2466988989594.0,1888658352866.0,1888658352866.0
Nợ dài hạn đến hạn trả(xem Thuyết minh số16),Nợ dài hạn đến hạn trả(xem Thuyết minh số16),Nợ dài hạn đến hạn trả(xem Thuyết minh số16),66.844.455.182,66.844.455.182,205.522.936.759,66.844.455.182,205.522.936.759,205.522.936.759,66844455182.0,66844455182.0,205522936759.0,66844455182.0,205522936759.0,205522936759.0
Cộng,Cộng,Cộng,1.660.677.134.056,1.660.677.134.056,2.967.337.600.345,2.533.833.444.776,2.094.181.289.625,2.094.181.289.625,1660677134056.0,1660677134056.0,2967337600345.0,2533833444776.0,2094181289625.0,2094181289625.0
